taxon,clade,clade2,
Scelidosaurus_harrisonii,Ornithischia,,
Scutellosaurus_lawleri,Ornithischia,Hadrosauriformes,
Secernosaurus_koerneri,Ornithischia,,
Shamosaurus_scutatus,Ornithischia,,
Silvisaurus_condrayi,Ornithischia,,
Sphaerotholus_buchholtzae,Ornithischia,,
Stegoceras_validum,Ornithischia,,
Stegosaurus_armatus,Ornithischia,,
Stegosaurus_stenops,Ornithischia,,
Stenopelix_valdensis,Ornithischia,,
Stormbergia_dangershoeki,Ornithischia,,
Struthiosaurus_austriacus,Ornithischia,,
Stygimoloch_spinifer,Ornithischia,,
Styracosaurus_albertensis,Ornithischia,Ceratopsidae,
Talarurus_plicatospineus,Ornithischia,,
Tarchia_gigantea,Ornithischia,,
Telmatosaurus_transsylvanicus,Ornithischia,Hadrosauriformes,
Tenontosaurus_dossi,Ornithischia,,
Tenontosaurus_tilletti,Ornithischia,,
Thescelosaurus_neglectus,Ornithischia,,
Tianzhenosaurus_youngi,Ornithischia,,
Torosaurus_latus,Ornithischia,Ceratopsidae,
Triceratops_horridus,Ornithischia,Ceratopsidae,
Tsagantegia_longicranialis,Ornithischia,,
Tsintaosaurus_spinorhinus,Ornithischia,Hadrosauriformes,
Tuojiangosaurus_multispinus,Ornithischia,,
Tylocephale_gilmorei,Ornithischia,,
Udanoceratops_tschizhovi,Ornithischia,Ceratopsidae,
Vagaceratops_irvinensis,Ornithischia,Ceratopsidae,
Wannanosaurus_yansiensis,Ornithischia,,
Wuerhosaurus_homheni,Ornithischia,,
Xuanhuaceratops_niei,Ornithischia,,Ceratopsia
Yamaceratops_dorngobiensis,Ornithischia,,Ceratopsia
Yandusaurus_hongheensis,Ornithischia,,
Yaverlandia_bitholus,Ornithischia,,
Yinlong_downsi,Ornithischia,,Ceratopsia
Zalmoxes_robustus,Ornithischia,,
Zalmoxes_shqiperorum,Ornithischia,,
Zephyrosaurus_schaffi,Ornithischia,,
Zuniceratops_christopheri,Ornithischia,,
Aeolosaurus_rionegrinus,Sauropodomorpha,,
Agustinia_ligabuei,Sauropodomorpha,,
Alamosaurus_sanjuanensis,Sauropodomorpha,,
Amargasaurus_cazaui,Sauropodomorpha,,
Amazonsaurus_maranhensis,Sauropodomorpha,,
Ammosaurus_major,Sauropodomorpha,,
Ampelosaurus_atacis,Sauropodomorpha,,
Amphicoelias_altus,Sauropodomorpha,,
Anchisaurus_polyzelus,Sauropodomorpha,,
Andesaurus_delgadoi,Sauropodomorpha,,
Antarctosaurus_wichmannianus,Sauropodomorpha,,
Antetonitrus_ingenipes,Sauropodomorpha,,
Apatosaurus_ajax,Sauropodomorpha,,
Apatosaurus_excelsus,Sauropodomorpha,,
Apatosaurus_louisae,Sauropodomorpha,,
Apatosaurus_parvus,Sauropodomorpha,,
Apatosaurus_sp.,Sauropodomorpha,,
