taxon,age,time_elapsed,nodecount,clade,clade2,
Abrictosaurus_consors,196.05,48.3,9,orni,,
Achelousaurus_horneri,77.85,166.4,25,orni,Ceratopsidae,
Agilisaurus_louderbacki,166.9,77.4,8,orni,,
Agujaceratops_mariscalensis,77.85,166.4,25,orni,Ceratopsidae,
Altirhinus_kurzanovi,105.75,138.6,29,orni,Hadrosauriformes,
Amurosaurus_riabinini,67.95,176.4,42,orni,Hadrosauriformes,
Anchiceratops_ornatus,73.1,171.2,24,orni,Ceratopsidae,
Animantarx_ramaljonesi,101.625,142.7,14,orni,,
Ankylosaurus_magniventris,67.95,176.3,23,orni,,
Archaeoceratops_oshimai,121.9,122.4,16,orni,,Ceratopsia
Arrhinoceratops_brachyops,73.1,171.2,24,orni,Ceratopsidae,
Avaceratops_lammersi,74.2,170.1,20,orni,Ceratopsidae,
Bactrosaurus_johnsoni,88.75,155.6,35,orni,,
Bagaceratops_rozhdestvenskyi,77.85,166.4,19,orni,,Ceratopsia
Brachylophosaurus_canadensis,77.85,166.5,42,orni,Hadrosauriformes,
Camptosaurus_dispar,151.15,93.2,22,orni,,
Cedarpelta_bilbeyhallorum,101.625,142.7,14,orni,,
Centrosaurus_apertus,77.85,166.4,25,orni,Ceratopsidae,
Centrosaurus_brinkmani,74.2,170.1,25,orni,Ceratopsidae,
Chaoyangsaurus_youngi,140.8,103.5,13,orni,,Ceratopsia
Charonosaurus_jiayinensis,67.95,176.4,44,orni,Hadrosauriformes,
Chasmosaurus_belli,74.2,170.1,26,orni,Ceratopsidae,
Chasmosaurus_russelli,74.2,170.1,26,orni,Ceratopsidae,
Chialingosaurus_kuani,157.8,86.5,13,orni,,
Chungkingosaurus_jiangbeiensis,159.1,85.2,12,orni,,
Corythosaurus_casuarius,74.2,170.1,45,orni,Hadrosauriformes,
Dacentrurus_armatus,153.45,90.9,16,orni,,
Dryosaurus_altus,151.15,93.2,22,orni,,
Dwarf_pachycephalosaur,74.2,170.1,18,orni,,
Dysalotosaurus_lettowvorbecki,154.7,89.6,22,orni,,
Edmontonia_longiceps,77.85,166.5,19,orni,,
Edmontonia_rugosidens,67.95,176.3,19,orni,,
Edmontosaurus_annectens,67.95,176.4,42,orni,Hadrosauriformes,
Edmontosaurus_regalis,73.1,171.2,42,orni,Hadrosauriformes,
Einiosaurus_procurvicornis,77.85,166.4,24,orni,Ceratopsidae,
Emausaurus_ernsti,180.55,63.8,7,orni,,
Eocursor_parvus,214.85,29.4,3,orni,,
Eolambia_caroljonesa,101.625,142.7,33,orni,Hadrosauriformes,
Equijubus_normani,121.9,122.4,24,orni,Hadrosauriformes,
Euoplocephalus_tutus,74.2,170.1,23,orni,,
Fontllonga_euhadrosaur,67.95,176.4,37,orni,Hadrosauriformes,
Fukuisaurus_tetoriensis,128.55,115.8,28,orni,Hadrosauriformes,
Gargoyleosaurus_parkpinorum,151.15,93.2,13,orni,,
Gasparinisaura_cincosaltensis,79.95,164.4,14,orni,,
Gastonia_burgei,128.55,115.8,18,orni,,
Gilmoreosaurus_mongoliensis,88.75,155.6,37,orni,Hadrosauriformes,
Gobisaurus_domoculus,91.85,152.5,17,orni,,
Goyocephale_lattimorei,73.1,171.2,13,orni,,
Graciliceratops_mongoliensis,92.05,152.2,20,orni,,Ceratopsia
Gryposaurus_notabilis,77.85,166.5,41,orni,Hadrosauriformes,
Hesperosaurus_mjosi,157.2,87.1,16,orni,,
Heterodontosaurus_tucki,196.05,48.3,9,orni,,
Hexinlusaurus_multidens,166.9,77.4,9,orni,,
Homalocephale_calathocercos,73.1,171.2,14,orni,,
Huayangosaurus_taibaii,166.9,77.4,10,orni,,
Hungarosaurus_tormai,84.95,159.4,11,orni,,
Hylaeosaurus_armatus,136.65,107.7,13,orni,,
Hypacrosaurus_altispinus,73.1,171.2,48,orni,Hadrosauriformes,
Hypacrosaurus_stebingeri,77.85,166.5,47,orni,Hadrosauriformes,
Hypsilophodon_foxii,127.425,116.9,13,orni,,
Iguanodon_bernissartensis,125.225,119.1,25,orni,Hadrosauriformes,
Jaxartosaurus_aralensis,86.7,157.6,41,orni,Hadrosauriformes,
Jeholosaurus_shangyuanensis,124.1,120.2,12,orni,,
Jinzhousaurus_yangi,119.65,124.7,31,orni,Hadrosauriformes,
Kentrosaurus_aethiopicus,149.9,94.4,17,orni,,
