taxon,age,time_elapsed,nodecount,clade,clade2,
Kerberosaurus_manakini,67.95,176.4,42,orni,Hadrosauriformes,
Lambeosaurus_lambei,74.2,170.1,45,orni,Hadrosauriformes,
Lambeosaurus_magnicristatus,74.2,170.1,45,orni,Hadrosauriformes,
Leptoceratops_gracilis,69.05,175.2,21,orni,,Ceratopsia
Lesothosaurus_diagnosticus,196.05,48.2,4,orni,,
Lexovisaurus_durobrivensis,164.3,80,17,orni,,
Liaoceratops_yanzigouensis,124.1,120.2,14,orni,,Ceratopsia
Lophorhothon_atopus,82.1,162.2,39,orni,Hadrosauriformes,
Lurdusaurus_arenatus,113.4,130.9,23,orni,Hadrosauriformes,
Maiasaura_peeblesorum,77.85,166.5,42,orni,Hadrosauriformes,
Mantellisaurus_atherfieldensis,130.1,114.2,26,orni,Hadrosauriformes,
Minmi_paravertebra,132.85,111.5,15,orni,,
Monoclonius_crassus,77.85,166.4,22,orni,Ceratopsidae,
Montanoceratops_cerorhynchus,71,173.3,18,orni,,Ceratopsia
Muttaburrasaurus_langdoni,101.625,142.7,19,orni,,
Mymoorapelta_maysi,151.15,93.2,17,orni,,
Naashoibitosaurus_ostromi,74.2,170.1,44,orni,Hadrosauriformes,
Nanyangosaurus_zhugeii,106.75,137.6,30,orni,,
Nedoceratops_hatcheri,67.95,176.3,25,orni,Ceratopsidae,
Nipponosaurus_sachalinensis,83.45,160.9,48,orni,Hadrosauriformes,
Nodocephalosaurus_kirtlandensis,74.2,170.1,21,orni,,
Olorotitan_arharensis,67.95,176.4,46,orni,Hadrosauriformes,
Ornatotholus_browni,74.2,170.1,15,orni,,
Orodromeus_makelai,74.8,169.5,12,orni,,
Othnielia_rex,151.15,93.2,11,orni,,
Ouranosaurus_nigeriensis,113.4,130.9,27,orni,Hadrosauriformes,
Pachycephalosaurus_wyomingensis,69.05,175.2,19,orni,,
Pachyrhinosaurus_canadensis,73.1,171.2,26,orni,Ceratopsidae,
Pachyrhinosaurus_n._sp.,74.8,169.5,26,orni,Ceratopsidae,
Panoplosaurus_mirus,74.2,170.1,18,orni,,
Paranthodon_africanus,139.45,104.9,11,orni,,
Pararhabdodon_isonensis,69.05,175.3,39,orni,,
Parasaurolophus_walkeri,74.2,170.1,44,orni,Hadrosauriformes,
Parksosaurus_warreni,71,173.3,15,orni,,
Pawpawsaurus_campbelli,103.625,140.7,15,orni,,
Pentaceratops_sternbergii,74.2,170.1,24,orni,Ceratopsidae,
Pinacosaurus_grangeri,77.85,166.4,22,orni,,
Pinacosaurus_mephistocephalus,74.2,170.1,22,orni,,
Pisanosaurus_mertii,232.7,11.6,2,orni,,
Polacanthus_foxii,131.4,112.9,18,orni,,
Prenocephale_brevis,74.2,170.1,20,orni,,
Prenocephale_edmontonensis,74.2,170.1,20,orni,,
Prenocephale_goodwini,74.2,170.1,20,orni,,
Prenocephale_prenes,73.1,171.2,19,orni,,
Prenoceratops_pieganensis,77.85,166.4,20,orni,,
Probactrosaurus_gobiensis,115.65,128.7,32,orni,Hadrosauriformes,
Prosaurolophus_maximus,74.2,170.1,43,orni,Hadrosauriformes,
Protoceratops_andrewsi,74.2,170.1,20,orni,,Ceratopsia
Protoceratops_hellenikorhinus,82.9,161.4,19,orni,,Ceratopsia
Protohadros_byrdi,96,148.3,34,orni,Hadrosauriformes,
Psittacosaurus_guyangensis,113.4,130.9,11,orni,,Ceratopsia
Psittacosaurus_mongoliensis,137.9,106.4,14,orni,,Ceratopsia
Psittacosaurus_sinensis,119.65,124.7,14,orni,,Ceratopsia
Rhabdodon_priscus,73.1,171.2,21,orni,,
Saichania_chulsanensis,77.85,166.4,23,orni,,
Saurolophus_osborni,71.15,173.2,45,orni,Hadrosauriformes,
Sauropelta_edwardsorum,113.2,131.1,16,orni,,
Scelidosaurus_harrisonii,195.05,49.3,8,orni,,
Scutellosaurus_lawleri,191,53.3,6,orni,Hadrosauriformes,
Secernosaurus_koerneri,73.1,171.2,45,orni,,
Shamosaurus_scutatus,113.4,130.9,18,orni,,
Silvisaurus_condrayi,106.75,137.6,17,orni,,
Sphaerotholus_buchholtzae,69.05,175.2,20,orni,,
Stegoceras_validum,77.85,166.4,16,orni,,
Stegosaurus_armatus,151.15,93.2,17,orni,,
Stegosaurus_stenops,151.15,93.2,17,orni,,
Stenopelix_valdensis,142.2,102.1,10,orni,,
Stormbergia_dangershoeki,196.05,48.3,6,orni,,
Struthiosaurus_austriacus,77.85,166.5,10,orni,,
Stygimoloch_spinifer,67.95,176.3,19,orni,,
Styracosaurus_albertensis,74.2,170.1,24,orni,Ceratopsidae,
Talarurus_plicatospineus,88.75,155.5,21,orni,,
Tarchia_gigantea,76.75,167.5,23,orni,,
Telmatosaurus_transsylvanicus,69.05,175.3,37,orni,Hadrosauriformes,
Tenontosaurus_dossi,116.325,128,17,orni,,
Tenontosaurus_tilletti,113.2,131.1,18,orni,,
Thescelosaurus_neglectus,73.25,171.1,16,orni,,
Tianzhenosaurus_youngi,83.25,161,20,orni,,
Torosaurus_latus,69.05,175.2,25,orni,Ceratopsidae,
Triceratops_horridus,69.05,175.2,24,orni,Ceratopsidae,
Tsagantegia_longicranialis,88.75,155.5,20,orni,,
Tsintaosaurus_spinorhinus,77.85,166.5,40,orni,Hadrosauriformes,
Tuojiangosaurus_multispinus,159.1,85.2,15,orni,,
Tylocephale_gilmorei,77.85,166.4,19,orni,,
Udanoceratops_tschizhovi,77.85,166.4,21,orni,Ceratopsidae,
Vagaceratops_irvinensis,74.2,170.1,23,orni,Ceratopsidae,
Wannanosaurus_yansiensis,71,173.3,11,orni,,
Wuerhosaurus_homheni,119.95,124.4,15,orni,,
Xuanhuaceratops_niei,166.9,77.4,13,orni,,Ceratopsia
Yamaceratops_dorngobiensis,84.95,159.4,15,orni,,Ceratopsia
Yandusaurus_hongheensis,166.9,77.4,11,orni,,
Yaverlandia_bitholus,128.55,115.7,12,orni,,
Yinlong_downsi,160.4,83.9,10,orni,,Ceratopsia
Zalmoxes_robustus,69.05,175.3,22,orni,,
Zalmoxes_shqiperorum,71,173.3,22,orni,,
Zephyrosaurus_schaffi,113.2,131.1,12,orni,,
Zuniceratops_christopheri,92.2,152.1,19,orni,,
Aeolosaurus_rionegrinus,74.8,169.5,49,sauro,,
Agustinia_ligabuei,109.875,134.4,39,sauro,,
Alamosaurus_sanjuanensis,74.8,169.5,48,sauro,,
Amargasaurus_cazaui,125.225,119.1,31,sauro,,
Amazonsaurus_maranhensis,113.4,130.9,29,sauro,,
Ammosaurus_major,179.55,64.7,9,sauro,,
Ampelosaurus_atacis,73.1,171.2,38,sauro,,
Amphicoelias_altus,151.15,93.2,27,sauro,,
Anchisaurus_polyzelus,196.05,48.3,9,sauro,,
Andesaurus_delgadoi,98.5,145.8,36,sauro,,
Antarctosaurus_wichmannianus,79.95,164.3,34,sauro,,
Antetonitrus_ingenipes,214.85,29.5,12,sauro,,
Apatosaurus_ajax,151.15,93.2,33,sauro,,
Apatosaurus_excelsus,151.15,93.2,33,sauro,,
Apatosaurus_louisae,151.15,93.2,31,sauro,,
Apatosaurus_parvus,151.15,93.2,33,sauro,,
Apatosaurus_sp.,151.15,93.2,32,sauro,,
Argentinosaurus_huinculensis,92.65,151.7,51,sauro,,
Argyrosaurus_superbus,97.2,147.1,49,sauro,,
Atlasaurus_imelakei,165.9,78.4,28,sauro,,
Austrosaurus_mckillopi,103.625,140.7,42,sauro,,
Barapasaurus_tagorei,187.7,56.6,19,sauro,,
Barosaurus_lentus,151.15,93.2,33,sauro,,
Bellusaurus_sui,160.4,83.9,34,sauro,,
Blikanasaurus_cromptoni,214.85,29.5,11,sauro,,
Brachiosaurus_altithorax,151.15,93.2,34,sauro,,
Brachytrachelopan_mesai,148.55,95.8,32,sauro,,
Camarasaurus_supremus,151.15,93.2,28,sauro,,
Camelotia_borealis,205.4,38.9,12,sauro,,
Cedarosaurus_weiskopfae,128.55,115.8,34,sauro,,
Cetiosaurus_oxoniensis,166.95,77.4,22,sauro,,
Coloradisaurus_brevis,218.95,25.4,14,sauro,,
Datousaurus_bashanensis,166.9,77.4,33,sauro,,
Dicraeosaurus_hansemanni,154.7,89.6,32,sauro,,
Dinheirosaurus_lourinhanensis,153.45,90.9,31,sauro,,
Diplodocus_longus,151.15,93.2,33,sauro,,
Efraasia_minor,218.95,25.4,7,sauro,,
Epachthosaurus_sciuttoi,97.2,147.1,41,sauro,,
Euhelopus_zdanskyi,121.9,122.4,34,sauro,,
Europasaurus_holgeri,154.7,89.6,32,sauro,,
Giraffatitan_brancai,149.9,94.4,30,sauro,,
Gondwanatitan_faustoi,88.75,155.6,44,sauro,,
Gongxianosaurus_shibeiensis,178.4,65.9,13,sauro,,
Gyposaurus_sinensis,200.3,44,13,sauro,,
Haplocanthosaurus_delfsi,151.15,93.2,28,sauro,,
Haplocanthosaurus_priscus,151.15,93.2,25,sauro,,
Isanosaurus_attavipachi,214.85,29.5,14,sauro,,
Isisaurus_colberti,69.05,175.2,45,sauro,,
Japalpur_titanosaur_indet.,141.45,102.9,51,sauro,,
Jingshanosaurus_xinwaensis,196.05,48.3,6,sauro,,
Jobaria_tiguidensis,159.55,84.8,24,sauro,,
Kotasaurus_yamanpalliensis,187.7,56.6,16,sauro,,
Lapparentosaurus_madagascariensis,167.2,77.1,33,sauro,,
Lessemsaurus_sauropoides,218.95,25.4,12,sauro,,
Limaysaurus_tessonei,98.5,145.8,29,sauro,,
Lirainosaurus_astibiae,77.85,166.5,53,sauro,,
Losillasaurus_giganteus,147.05,97.3,24,sauro,,
Lufengosaurus_huenei,188.9,55.4,13,sauro,,
Malagasy_Taxon_B,77.85,166.5,52,sauro,,
Malawisaurus_dixeyi,122.75,121.6,43,sauro,,
Mamenchisaurus_constructus,159.1,85.2,21,sauro,,
Massospondylus_carinatus,196.05,48.3,13,sauro,,
Melanorosaurus_readi,214.85,29.5,11,sauro,,
Mussaurus_patagonicus,218.95,25.3,5,sauro,,
Nemegtosaurus_mongoliensis,73.1,171.2,36,sauro,,
Nigersaurus_taqueti,113.4,130.9,30,sauro,,
Omeisaurus_junghsiensis,166.9,77.4,22,sauro,,
Omeisaurus_tianfuensis,166.9,77.4,22,sauro,,
Opisthocoelicaudia_skarzynskii,73.1,171.2,52,sauro,,
Pantydraco_caducus,205.4,38.9,5,sauro,,
Paralititan_stromeri,98.5,145.8,40,sauro,,
Patagosaurus_fariasi,170.75,73.6,21,sauro,,
Peiropolis_titanosaur,83.25,161.1,53,sauro,,
Pellegrinisaurus_powelli,79.95,164.3,48,sauro,,
Phuwiangosaurus_sirindhornae,121.9,122.4,35,sauro,,
Plateosauravus_cullingworthi,214.85,29.5,13,sauro,,
Plateosaurus_engelhardti,205.4,38.9,15,sauro,,
Plateosaurus_gracilis,218.95,25.4,12,sauro,,
Pleurocoelus_nanus,122.975,121.3,37,sauro,,
Quaesitosaurus_orientalis,78.4,165.9,35,sauro,,
Rapetosaurus_krausei,69.05,175.2,36,sauro,,
Rayososaurus_agrioensis,98.5,145.8,30,sauro,,
Rebbachisaurus_garasbae,103.45,140.8,30,sauro,,
Riojasaurus_incertus,218.95,25.4,10,sauro,,
Rocasaurus_muniozi,73.1,171.2,50,sauro,,
Saltasaurus_loricatus,71,173.3,52,sauro,,
Saturnalia_tupiniquim,232.7,11.6,3,sauro,,
Shunosaurus_lii,166.9,77.4,18,sauro,,
Suuwassea_emilieae,151.15,93.2,30,sauro,,
Tazoudasaurus_naimi,182.45,61.9,15,sauro,,
Tehuelchesaurus_benitezii,151.15,93.2,34,sauro,,
Thecodontosaurus_antiquus,205.4,38.9,5,sauro,,
Titanosaurus_indicus,69.05,175.3,46,sauro,,
Toba_titanosaur,137.9,106.4,50,sauro,,
Tornieria_africana,149.9,94.4,32,sauro,,
Unaysaurus_tolentinoi,218.95,25.4,15,sauro,,
Vulcanodon_karibaensis,200.3,44,17,sauro,,
Yunnanosaurus_huangi,196.05,48.3,13,sauro,,
Zapalasaurus_bonapartei,124.1,120.2,24,sauro,,
Abelisaurus_comahuensis,79.95,164.3,15,thero,,
Achillobator_giganticus,92.05,152.2,33,thero,,
Acrocanthosaurus_atokensis,119.65,124.7,17,thero,,
Adasaurus_mongoliensis,73.1,171.2,32,thero,,
Afrovenator_abakensis,159.55,84.7,12,thero,,
Albertosaurus_sarcophagus,74.8,169.5,21,thero,,
Alectrosaurus_olseni,74.8,169.5,18,thero,,
Alioramus_remotus,69.05,175.2,19,thero,,
Allosaurus_fragilis,151.15,93.2,15,thero,,
Alvarezsaurus_calvoi,84.95,159.3,23,thero,,
Anserimimus_planinychus,73.1,171.2,27,thero,,
Appalachiosaurus_montgomeriensis,77.85,166.5,21,thero,,
Archaeopteryx_lithographica,149.9,94.4,28,thero,,
Archaeornithomimus_asiaticus,88.75,155.5,24,thero,,
Aristosuchus_pusillus,128.55,115.7,21,thero,,
Atrociraptor_marshalli,73.1,171.2,35,thero,,
Aucasaurus_garridoi,77.85,166.4,17,thero,,
Avimimus_portentosus,77.85,166.4,26,thero,,
Bagaraatan_ostromi,73.1,171.2,21,thero,,
Bajo_Barreal_abelisaur,93.4,150.9,17,thero,,
Bambiraptor_feinbergorum,77.85,166.4,34,thero,,
Baryonyx_walkeri,129.675,114.6,16,thero,,
Beipiaosaurus_inexpectus,124.1,120.2,27,thero,,
Buitreraptor_gonzalezorum,98.5,145.8,30,thero,,
Byronosaurus_jaffei,77.85,166.4,30,thero,,
Carcharodontosaurus_saharicus,98.5,145.8,19,thero,,
Carnotaurus_sastrei,77.85,166.4,17,thero,,
Caudipteryx_zoui,124.1,120.2,26,thero,,
Ceratosaurus_nasicornis,151.15,93.2,10,thero,,
Chilantaisaurus_tashuikouensis,91.85,152.4,13,thero,,
Chindesaurus_bryansmalli,223.25,21.1,5,thero,,
Chirostenotes_pergracilis,74.2,170.1,28,thero,,
Citipati_osmolskae,74.2,170.1,31,thero,,
Coelophysis_bauri,214.85,29.5,13,thero,,
Coelophysis_rhodesiensis,196.05,48.2,12,thero,,
Coelurus_fragilis,151.15,93.1,18,thero,,
Compsognathus_longipes,149.9,94.4,22,thero,,
Conchoraptor_gracilis,77.85,166.4,32,thero,,
Cristatusaurus_lapparenti,116.325,128,14,thero,,
Cryolophosaurus_ellioti,191,53.3,13,thero,,
Daspletosaurus_torosus,77.85,166.5,23,thero,,
Deinonychus_antirrhopus,113.4,130.9,35,thero,,
Deltadromeus_agilis,98.5,145.8,20,thero,,
Dilong_paradoxus,124.1,120.2,17,thero,,
Dilophosaurus_wetherilli,191,53.3,8,thero,,
Dornogov_troodontid,101.625,142.7,28,thero,,
Dromaeosaurus_albertensis,77.85,166.4,34,thero,,
Dryptosaurus_aquilunguis,67.95,176.4,19,thero,,
Dubreuillosaurus_valesdunensis,167.2,77.1,13,thero,,
Duriavenator_hesperis,168.85,75.4,12,thero,,
El_Brete_oviraptor,71.15,173.1,26,thero,,
Elaphrosaurus_bambergi,149.9,94.4,8,thero,,
Enigmosaurus_mongoliensis,95.15,149.2,28,thero,,
Eoraptor_lunensis,232.7,11.6,4,thero,,
Eotyrannus_lengi,128.55,115.8,17,thero,,
Erlikosaurus_andrewsi,95.15,149.1,30,thero,,
Eshanosaurus_deguchiianus,200.3,44,29,thero,,
Eustreptospondylus_oxoniensis,163.75,80.5,13,thero,,
Falcarius_utahensis,128.55,115.7,25,thero,,
Fukuiraptor_kitadaniensis,128.55,115.7,11,thero,,
Gallimimus_bullatus,73.1,171.2,27,thero,,
Garudimimus_brevipes,95.15,149.1,23,thero,,
Gasosaurus_constructus,166.9,77.4,17,thero,,
Giganotosaurus_carolinii,98.5,145.8,20,thero,,
Gojirasaurus_quayi,218.95,25.4,9,thero,,
Gorgosaurus_libratus,77.85,166.5,21,thero,,
Guaibasaurus_candelariensis,218.95,25.4,5,thero,,
Guanlong_wucaii,160.4,83.9,18,thero,,
Gugyedong_maniraptoran,116.525,127.8,23,thero,,
Harpymimus_okladnikovi,106.75,137.5,22,thero,,
Herrerasaurus_ischigualastensis,232.7,11.6,5,thero,,
Huaxiagnathus_orientalis,124.1,120.2,19,thero,,
Ilokelesia_aguadagrandensis,92.65,151.6,14,thero,,
Incisivosaurus_gauthieri,124.1,120.2,24,thero,,
Ingenia_yanshini,77.85,166.4,32,thero,,
Irritator_challengeri,106.75,137.5,16,thero,,
Jinfengopteryx_elegans,122.75,121.5,28,thero,,
Kamyn_Khondt_oviraptorine,78.4,165.9,31,thero,,
Khaan_mckennai,74.2,170.1,30,thero,,
Lameta_abelisaur,69.05,175.2,17,thero,,
Liliensternus_liliensterni,205.4,38.9,11,thero,,
Lophostropheus_airelensis,204.4,39.9,11,thero,,
Lourinhanosaurus_antunesi,151.25,93,11,thero,,
Magnosaurus_nethercombensis,169.85,74.4,13,thero,,
Majungasaurus_crenatissimus,69.05,175.2,17,thero,,
Mapusaurus_roseae,92.65,151.7,20,thero,,
Masiakasaurus_knopfleri,69.05,175.2,14,thero,,
Megalosaurus_bucklandii,167.2,77.1,12,thero,,
Mei_long,124.1,120.2,28,thero,,
Microraptor_zhaoianus,119.65,124.6,28,thero,,
Microvenator_celer,113.4,130.9,28,thero,,
Mirischia_asymmetrica,106.75,137.5,22,thero,,
Monolophosaurus_jiangi,164.8,79.5,12,thero,,
Mononykus_olecranus,73.1,171.2,26,thero,,
Nanotyrannus_lancensis,67.95,176.3,24,thero,,
Nanshiungosaurus_brevispinus,74.8,169.5,24,thero,,
Nedcolbertia_justinhofmanni,128.55,115.7,18,thero,,
Neovenator_salerii,128.55,115.8,16,thero,,
Neuquenraptor_argentinus,90.05,154.2,27,thero,,
Noasaurus_leali,71,173.3,14,thero,,
Nomingia_gobiensis,73.1,171.2,28,thero,,
Nothronychus_mckinleyi,91.85,152.4,26,thero,,
Nqwebasaurus_thwazi,139.45,104.8,16,thero,,
Ornitholestes_hermanni,151.15,93.1,20,thero,,
Ornithomimus_edmontonicus,73.1,171.2,28,thero,,
Ornithomimus_velox,71.15,173.1,28,thero,,
Oviraptor_philoceratops,74.2,170.1,31,thero,,
Parvicursor_remotus,77.85,166.5,26,thero,,
Patagonykus_puertai,90.05,154.2,24,thero,,
Pelecanimimus_polyodon,127.425,116.9,20,thero,,
Piatnitzkysaurus_floresi,166.9,77.4,12,thero,,
Poekilopleuron_bucklandii,167.2,77.1,12,thero,,
Proceratosaurus_bradleyi,167.2,77.1,19,thero,,
Procompsognathus_triassicus,218.95,25.4,11,thero,,
Protarchaeopteryx_robusta,124.1,120.2,24,thero,,
Quarry_9_coelurosaur,151.15,93.1,22,thero,,
Rahonavis_ostromi,69.05,175.2,27,thero,,
Rinchenia_mongoliensis,73.1,171.2,30,thero,,
Rugops_primus,97.2,147.1,12,thero,,
Sarcosaurus_woodi,197.175,47.1,8,thero,,
Saurornithoides_mongoliensis,74.2,170.1,32,thero,,
Saurornitholestes_langstoni,77.85,166.4,32,thero,,
Scipionyx_samniticus,109.875,134.4,16,thero,,
Segisaurus_halli,182.45,61.9,13,thero,,
Segnosaurus_galbinensis,95.15,149.1,30,thero,,
Shenzhousaurus_orientalis,124.1,120.2,21,thero,,
Shuvuuia_deserti,74.2,170.1,25,thero,,
Siamotyrannus_isanensis,121.9,122.4,15,thero,,
Sinornithoides_youngi,119.95,124.3,29,thero,,
Sinornithomimus_dongi,91.85,152.4,25,thero,,
Sinornithosaurus_millenii,124.1,120.2,29,thero,,
Sinosauropteryx_prima,124.1,120.2,20,thero,,
Sinovenator_changii,124.1,120.2,28,thero,,
Sinraptor_dongi,160.4,83.9,15,thero,,
Spinosaurus_aegypticus,98.5,145.8,16,thero,,
Spinostropheus_gautieri,159.55,84.8,10,thero,,
Staurikosaurus_pricei,232.7,11.6,4,thero,,
Stokesosaurus_clevelandi,151.15,93.2,19,thero,,
Struthiomimus_altus,74.8,169.5,27,thero,,
Suchomimus_tenerensis,119.65,124.6,16,thero,,
Szechuanosaurus_zigongensis,166.9,77.4,8,thero,,
Tarbosaurus_bataar,74.8,169.5,24,thero,,
Torvosaurus_tanneri,151.15,93.1,12,thero,,
Troodon_formosus,74.8,169.5,31,thero,,
Tsaagan_mangas,77.85,166.4,34,thero,,
Tugulusaurus_faciles,110.075,134.2,12,thero,,
Two_Medicine_tyrannosaurine,77.85,166.5,23,thero,,
Tyrannosaurus_rex,69.05,175.2,23,thero,,
Tyrannotitan_chubutensis,119.65,124.7,18,thero,,
Unenlagia_comahuensis,90.05,154.2,26,thero,,
Utahraptor_ostrommaysi,124.1,120.2,34,thero,,
Velociraptor_mongoliensis,77.85,166.4,34,thero,,
Velocisaurus_unicus,84.95,159.3,10,thero,,
Xenotarsosaurus_bonapartei,97.2,147.1,11,thero,,
Xinjiangovenator_parvus,110.075,134.2,21,thero,,
Xuanhanosaurus_qilixiaensis,166.9,77.4,18,thero,,
Yangchuanosaurus_shangyouensis,159.1,85.2,15,thero,,
Zanabazar_junior,73.1,171.2,32,thero,,
Zupaysaurus_rougieri,218.95,25.4,8,thero,,
