occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no
260030,occ,,,25142,Rebbachisaurus tamesnensis,species,63792,nomen dubium,Rebbachisauridae,family,57365,Early Berriasian,Late Albian,145,99.6,7056
260031,occ,,,25143,Rebbachisaurus tamesnensis,species,63792,nomen dubium,Rebbachisauridae,family,57365,Early Berriasian,Late Albian,145,99.6,7056
260590,occ,,,25192,Rebbachisaurus tamesnensis,species,63792,nomen dubium,Rebbachisauridae,family,57365,Early Albian,Early Cenomanian,112.03,93.5,7056
260592,occ,,,25193,Rebbachisaurus tamesnensis,species,63792,nomen dubium,Rebbachisauridae,family,57365,Early Berriasian,Late Valanginian,145,136.4,7056
260594,occ,,,25194,Rebbachisaurus tamesnensis,species,63792,nomen dubium,Rebbachisauridae,family,57365,Aptian,,125,113,7056
260597,occ,,,25196,Rebbachisaurus tamesnensis,species,63792,nomen dubium,Rebbachisauridae,family,57365,Albian,,113,100.5,7056
260602,occ,21964,,25200,Rebbachisaurus tamesnensis,species,63792,nomen dubium,Rebbachisauridae,family,57365,Early Albian,Early Cenomanian,112.03,93.5,7056
260605,occ,32306,,25201,Titanosauridae indet.,family,38680,,Titanosauridae,family,38680,Early Berriasian,Late Albian,145,99.6,59099
260607,occ,,,25202,Rebbachisaurus tamesnensis,species,63792,nomen dubium,Rebbachisauridae,family,57365,Early Berriasian,Late Valanginian,145,136.4,7056
260829,occ,,,25219,Rebbachisaurus tamesnensis,species,63792,nomen dubium,Rebbachisauridae,family,57365,Early Albian,Early Cenomanian,112.03,93.5,7056
260830,occ,,,25219,Aegyptosaurus baharijensis,species,66662,,Aegyptosaurus baharijensis,species,66662,Early Albian,Early Cenomanian,112.03,93.5,45866
260831,occ,,,25220,Rebbachisaurus tamesnensis,species,63792,nomen dubium,Rebbachisauridae,family,57365,Early Albian,Early Cenomanian,112.03,93.5,7056
260837,occ,28288,,25221,Rebbachisaurus n. sp. tamesnensis,species,63792,nomen dubium,Rebbachisauridae,family,57365,Late Albian,Early Cenomanian,105.3,93.5,7056
260838,occ,,,25221,Aegyptosaurus baharijensis,species,66662,,Aegyptosaurus baharijensis,species,66662,Late Albian,Early Cenomanian,105.3,93.5,7056
260840,occ,,,25222,Rebbachisaurus tamesnensis,species,63792,nomen dubium,Rebbachisauridae,family,57365,Early Berriasian,Early Cenomanian,145,93.5,7056
260843,occ,28295,,25223,Rebbachisaurus tamesnensis,species,63792,nomen dubium,Rebbachisauridae,family,57365,Early Berriasian,Late Valanginian,145,136.4,7056
260844,occ,,,25223,Astrodon sp.,genus,38674,nomen dubium,Macronaria,unranked clade,57438,Early Berriasian,Late Valanginian,145,136.4,45866
260845,occ,,,25223,Aegyptosaurus baharijensis,species,66662,,Aegyptosaurus baharijensis,species,66662,Early Berriasian,Late Valanginian,145,136.4,7056
260856,occ,,,25224,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Early Berriasian,Early Cenomanian,145,93.5,7056
260888,occ,,,25225,Rebbachisaurus tamesnensis,species,63792,nomen dubium,Rebbachisauridae,family,57365,Early Berriasian,Early Cenomanian,145,93.5,7056
260898,occ,,,25226,Rebbachisaurus tamesnensis,species,63792,nomen dubium,Rebbachisauridae,family,57365,Early Berriasian,Late Barremian,145,125.45,7056
262167,occ,,,25325,Rebbachisaurus garasbae,species,65368,,Rebbachisaurus garasbae,species,65368,Early Cenomanian,,99.6,93.5,7098
262168,occ,,,25325,Titanosauria indet.,unranked clade,55585,,Titanosauria,unranked clade,55585,Early Cenomanian,,99.6,93.5,7098
262345,occ,,,25353,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Early Berriasian,Late Albian,145,99.6,7056
262346,occ,,,25354,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Middle Jurassic,Late Jurassic,174.1,145,7056
262349,occ,,,25356,Rebbachisaurus tamesnensis,species,63792,nomen dubium,Rebbachisauridae,family,57365,Early Barremian,Early Cenomanian,130,93.5,7056
262351,occ,,,25358,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Early Berriasian,Early Cenomanian,145,93.5,7056
262352,occ,,,25359,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Early Berriasian,Early Cenomanian,145,93.5,7056
262353,occ,,,25360,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Early Berriasian,Early Cenomanian,145,93.5,7056
262354,occ,,,25361,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Early Berriasian,Early Cenomanian,145,93.5,7056
276680,occ,,,26373,Titanosauridae indet.,family,38680,,Titanosauridae,family,38680,Maastrichtian,,72.1,66,7271
276697,occ,,,26374,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Maastrichtian,,72.1,66,19228
276698,occ,,,26375,Titanosaurus indicus,species,54171,,Titanosaurus indicus,species,54171,Maastrichtian,,72.1,66,19228
