occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no
130209,occ,,,10755,n. gen. Chaoyangosaurus n. sp. liaosiensis,species,65704,replaced by,Chaoyangsaurus youngi,species,55580,Late Tithonian,Valanginian,150.8,132.9,13360
139249,occ,,,11892,Hadrosauridae indet.,family,38755,,Hadrosauridae,family,38755,Late Campanian,,83.5,70.6,16964
139251,occ,,,11894,Centrosaurus apertus,species,63911,,Centrosaurus apertus,species,63911,Late Campanian,,83.5,70.6,16964
139294,occ,32334,,11919,Gryposaurus cf. notabilis,species,63251,,Gryposaurus notabilis,species,63251,Late Campanian,,83.5,70.6,59147
139340,occ,,,11931,n. gen. Ankylosaurus n. sp. magniventris,species,52793,,Ankylosaurus magniventris,species,52793,Maastrichtian,,72.1,66,4210
147092,occ,,,12977,n. gen. Stenotholus n. sp. kohleri,species,53215,subjective synonym of,Pachycephalosaurus wyomingensis,species,64648,Maastrichtian,,72.1,66,4306
147093,occ,,,12977,Hadrosauridae indet.,family,38755,,Hadrosauridae,family,38755,Maastrichtian,,72.1,66,4306
149599,occ,,,13214,Stegosaurus sp.,genus,38814,,Stegosaurus,genus,38814,Kimmeridgian,Tithonian,157.3,145,4387
149611,occ,31720,,13218,Hadrosauroidea indet.,unranked clade,184951,,Hadrosauroidea,unranked clade,52811,Late Maastrichtian,,70.6,66,56054
149854,occ,,,13267,Ornithopoda indet.,unranked clade,38713,,Ornithopoda,unranked clade,38713,Late Barremian,Early Aptian,130,122.46,4397
149860,occ,,,13268,Hypsilophodon sp.,genus,38736,,Hypsilophodon,genus,38736,Late Barremian,Early Aptian,130,122.46,4398
149981,occ,,,13279,n. gen. Scutellosaurus n. sp. lawleri,species,67088,,Scutellosaurus lawleri,species,67088,Sinemurian,Pliensbachian,199.3,182.7,4405
149982,occ,,,13280,Scutellosaurus lawleri,species,67088,,Scutellosaurus lawleri,species,67088,Sinemurian,Pliensbachian,199.3,182.7,4405
149983,occ,10063,,13281,Orodromeus makelai,species,64338,,Orodromeus makelai,species,64338,Campanian,,83.6,72.1,7404
149984,occ,,,13282,Maiasaura peeblesorum,species,55574,,Maiasaura peeblesorum,species,55574,Campanian,,83.6,72.1,4406
