treeID,clade,rep,null_DIC,slow_DIC,asym_DIC,null_post_mean_intercept,null_post_mean,null_lower95_CI_intercept,null_upper95_CI_intercept,null_lower95_CI,null_upper95_CI,null_ess,null_pMCMC,slow_post_mean_intercept,slow_post_mean,slow_post_mean_2,slow_lower95_CI_intercept,slow_upper95_CI_intercept,slow_lower95_CI,slow_upper95_CI,slow_lower95_CI_2,slow_upper95_CI_2,slow_ess,slow_pMCMC,asym_post_mean_intercept,asym_post_mean,asym_post_mean_sqrt,asym_lower95_CI_intercept,asym_upper95_CI_intercept,asym_lower95_CI,asym_upper95_CI,asym_lower95_CI_sqrt,asym_upper95_CI_sqrt,asym_ess,asym_pMCMC
lloyd2008,orni,NA,901.7169221,895.1664519,891.1811852,1.792050518,0.005227763,1.47563415,2.106733448,0.00315441,0.007101885,450,0.002222222,1.163289042,0.02015847,-6.36E-05,0.652873375,1.723540941,0.009507055,0.029002085,-1.08E-04,-2.46E-05,377.3396639,0.002222222,-0.48830059,-0.018458821,0.493035676,-1.926081061,1.043283898,-0.033395748,-0.005514339,0.221940638,0.817675966,265.1268629,0.528888889
lloyd2008,sauro,NA,597.1870729,596.2617752,595.2825802,2.112191967,0.003791129,1.894169237,2.328885022,0.001220591,0.006017595,450,0.002222222,1.790769348,0.017242209,-5.94E-05,1.493454194,2.07075862,0.00850688,0.025568422,-9.51E-05,-2.03E-05,450,0.002222222,0.990908008,-0.010705497,0.29305874,0.245049408,1.687737491,-0.020436841,-0.002174135,0.125178553,0.490146527,346.3691832,0.008888889
lloyd2008,thero,NA,890.8595724,886.3543945,882.2862285,2.012329718,0.004891958,1.817883481,2.220873124,0.003459272,0.006770916,450,0.002222222,1.699572745,0.013650995,-3.99E-05,1.406981072,1.982790813,0.00743506,0.020679389,-6.67E-05,-1.08E-05,450,0.002222222,0.945970236,-0.008221594,0.257146957,0.196958147,1.542523654,-0.016565505,-0.001085545,0.126258559,0.418576193,383.4794754,0.013333333
lloyd2008,all,NA,2397.344242,2386.228091,2382.50441,2.174935204,0.00428141,2.038385743,2.324569893,0.003231983,0.005231422,450,0.002222222,1.872101336,0.012829931,-3.66E-05,1.671242567,2.092704748,0.008972413,0.017312734,-5.42E-05,-1.97E-05,295.2033769,0.002222222,1.059551142,-0.008338858,0.257700795,0.553769448,1.59776119,-0.01387762,-0.002652809,0.134666038,0.36142297,390.5990864,0.002222222
tree_4,all,1,2418.661217,2409.163274,2404.316023,2.182701455,0.004236058,2.048177563,2.313145851,0.003233224,0.00536834,450,0.002222222,1.867709955,0.012808225,-3.70E-05,1.680753483,2.059798233,0.009266994,0.017357004,-5.63E-05,-2.19E-05,281.3518024,0.002222222,1.062800597,-0.008349725,0.257513794,0.616429047,1.54247861,-0.013186888,-0.002549082,0.153867497,0.361619639,450,0.002222222
tree_4,all,2,2419.658944,2407.850982,2403.598063,2.181919025,0.004249027,2.050070622,2.339053573,0.003194987,0.005258813,450,0.002222222,1.868249032,0.012888557,-3.71E-05,1.682384864,2.071928155,0.009021487,0.017752135,-5.42E-05,-1.98E-05,374.1922545,0.002222222,1.057183678,-0.008400536,0.258859065,0.523134535,1.532046387,-0.013251313,-0.001767484,0.160548564,0.39049545,450,0.002222222
tree_4,all,3,2418.049747,2407.597342,2403.148982,2.182820651,0.004306396,2.040032183,2.312832908,0.003256605,0.005313005,450,0.002222222,1.865424285,0.012920085,-3.70E-05,1.675207415,2.066151515,0.009088296,0.01734606,-5.44E-05,-1.82E-05,450,0.002222222,1.048608599,-0.008318071,0.259202882,0.521501331,1.580018273,-0.013700824,-0.002785717,0.152009181,0.376369895,341.6481394,0.002222222
tree_4,all,4,2421.981173,2412.081182,2407.521067,2.181578878,0.004160166,2.054431344,2.31431247,0.003123458,0.005190334,450,0.002222222,1.877546876,0.01273289,-3.69E-05,1.674902335,2.108873334,0.007340202,0.017027484,-5.53E-05,-1.59E-05,506.1353562,0.002222222,1.043507963,-0.008644786,0.262089167,0.492428447,1.560387408,-0.014409058,-0.003021643,0.14267938,0.371457244,450,0.002222222
tree_4,all,5,2421.167039,2409.804712,2405.093693,2.175298254,0.004274276,2.036475271,2.32193033,0.003227658,0.005295951,450,0.002222222,1.87344525,0.012886471,-3.72E-05,1.690317159,2.064509137,0.008812871,0.017082554,-5.53E-05,-2.09E-05,362.4494358,0.002222222,1.063543612,-0.008341826,0.257482867,0.577034293,1.54722393,-0.013376968,-0.002878233,0.162291474,0.371653043,376.3150542,0.002222222
tree_4,all,6,2421.608285,2410.573167,2406.49111,2.1726258,0.004306666,2.028037734,2.309398915,0.003092287,0.005269426,450,0.002222222,1.868933103,0.012861734,-3.67E-05,1.666388027,2.058326973,0.008462546,0.016909169,-5.25E-05,-1.76E-05,687.026792,0.002222222,1.043515393,-0.00832263,0.259905487,0.479954226,1.516467013,-0.014177205,-0.00255571,0.144799417,0.374619734,450,0.002222222
tree_4,all,7,2416.8052,2407.316611,2402.846371,2.179156408,0.004268108,2.038605063,2.315118816,0.003302419,0.005410711,450,0.002222222,1.877667523,0.012543154,-3.55E-05,1.663831179,2.073390842,0.0083988,0.016625694,-5.24E-05,-1.78E-05,450,0.002222222,1.084532475,-0.008113165,0.252865173,0.634373378,1.584690118,-0.014014123,-0.003602928,0.147072895,0.355129706,363.5382195,0.002222222
tree_4,all,8,2418.909595,2407.259965,2404.028155,2.175772585,0.004256504,2.035853855,2.333719391,0.003207549,0.005209163,274.0233859,0.002222222,1.870130461,0.01277,-3.62E-05,1.688031859,2.089085629,0.008600073,0.016706423,-5.41E-05,-2.02E-05,450,0.002222222,1.080912503,-0.00811088,0.252955265,0.547799216,1.53891376,-0.013711322,-0.002730972,0.139835939,0.362085647,341.2183286,0.002222222
tree_4,all,9,2420.715666,2408.594246,2404.248405,2.185192227,0.004178309,2.036386136,2.325580409,0.003126372,0.005213124,450,0.002222222,1.881518583,0.012635797,-3.60E-05,1.700017598,2.105367197,0.00844353,0.016596906,-5.19E-05,-1.82E-05,370.185618,0.002222222,1.0627744,-0.008429929,0.258896558,0.471950738,1.504048269,-0.014187573,-0.003097498,0.157119299,0.385224934,368.1288832,0.002222222
tree_4,all,10,2418.033204,2406.839226,2402.602219,2.174685087,0.00429842,2.034862666,2.302548285,0.003357993,0.005437897,450,0.002222222,1.873618152,0.012696258,-3.62E-05,1.65499673,2.089283924,0.008395361,0.017147152,-5.30E-05,-1.76E-05,226.7640185,0.002222222,1.046433189,-0.008406031,0.260083533,0.574493927,1.572713187,-0.013466348,-0.002787597,0.144215979,0.354354919,450,0.002222222
tree_4,all,11,2418.805617,2409.313913,2404.602158,2.180155406,0.004272371,2.034474944,2.314258941,0.003338684,0.005346992,385.6739233,0.002222222,1.877896159,0.012587936,-3.60E-05,1.646693546,2.073543244,0.008011705,0.016492347,-5.53E-05,-1.95E-05,382.6034762,0.002222222,1.060697896,-0.008461166,0.260156327,0.507844494,1.510388181,-0.014041846,-0.003323962,0.160561876,0.37729676,391.4078162,0.002222222
tree_4,all,12,2417.021197,2406.917463,2402.917806,2.182917611,0.004281781,2.02738075,2.309427313,0.003215126,0.005217234,450,0.002222222,1.873871651,0.012686737,-3.61E-05,1.691744254,2.084790044,0.00868833,0.016180667,-5.27E-05,-2.17E-05,486.1456635,0.002222222,1.048473612,-0.008306573,0.25868191,0.549061711,1.592378999,-0.01390757,-0.00302519,0.133176578,0.35266754,310.8749424,0.002222222
tree_4,all,13,2421.131757,2410.275135,2404.803818,2.18666504,0.004150156,2.047326367,2.325979588,0.003167561,0.005110939,450,0.002222222,1.880089466,0.01262588,-3.63E-05,1.652634413,2.066040136,0.008942754,0.017541186,-5.47E-05,-1.86E-05,378.9503016,0.002222222,1.037520195,-0.00875594,0.264491836,0.553847804,1.52537864,-0.013798609,-0.003250665,0.150797139,0.360546443,386.4465372,0.002222222
tree_4,all,14,2421.543826,2410.882586,2406.894301,2.180189439,0.004247723,2.032793007,2.303551729,0.003089137,0.005231742,450,0.002222222,1.85958373,0.012927286,-3.70E-05,1.637110196,2.036633986,0.008530528,0.01694969,-5.41E-05,-1.87E-05,450,0.002222222,1.066262118,-0.008289685,0.257187495,0.584706865,1.514672959,-0.01316928,-0.002882162,0.15794351,0.364943593,450,0.002222222
