"","species","nodecount","time"
"1","Allosaurus_fragilis",2,24.54535601
"2","Sinraptor_dongi",3,11.7033137
"3","Bicentenaria",4,77.8503319
"4","Tugulusaurus",5,72.55548168
"5","Zuolong",5,14.39146281
"6","Ornitholestes_hermanni",6,24.278752867
"7","Mahakala_omnogovae",12,102.759701007
"8","Tianyuraptor_ostromi",14,47.931330784
"9","Sinornithosaurus_millenii",14,45.932726373
"10","Microraptor_zhaoianus",14,50.949542529
"11","Graciliraptor_lujiatunensis",14,49.602224439
"12","Dromaeosaurus_albertensis",15,93.126023807
"13","Tsaagan_mangas",15,94.618694627
"14","Bambiraptor_feinbergorum",15,96.913769617
"15","Atrociraptor_marshalli",15,106.751077387
"16","Utahraptor",15,45.418844917
"17","Achillobator_giganticus",15,81.919191867
"18","Saurornitholestes_langstoni",15,96.776494057
"19","Deinonychus_antirrhopus",16,59.286709167
"20","Velociraptor_mongoliensis",17,93.301963187
"21","Adasaurus_mongoliensis",17,103.864935577
"22","Rahonavis_ostromi",14,103.564563177
"23","Buitreraptor_gonzalozorum",15,78.502392507
"24","Neuquenraptor_plus_Unenlagia",16,81.407404735
"25","Austroraptor",16,106.003652615
"26","Archaeopteryx_lithographica",12,24.373489377
"27","Balaur_bondoc",14,103.261562927
"28","Sapeornis",14,58.142759927
"29","Jeholornis_prima",14,52.348821357
"30","Jixiangornis_orientalis",15,51.131891337
"31","Confuciusornis_sanctus",16,49.577563588
"32","Patagopteryx_deferrariisi",18,89.416459378
"33","Hongshanornis_longicrest",19,53.802907275
"34","Yanornis_martini",20,51.521292638
"35","Yixianornis",20,52.195609651
"36","Songlingornis",20,55.415678726
"37","Apsaravis_ukhaana",21,91.804331985
"38","Hesperornis",22,94.897204887
"39","Baptornis",22,87.468949278
"40","Ichthyornis",22,93.527755716
"41","Iaceornis_marshii",22,103.404886678
"42","Limenavis_patagonica",22,95.176782056
"43","Lithornis",22,124.702106708
"44","Gobipteryx",19,94.939850467
"45","Pengornis_houi",19,60.114834077
"46","Neuquenornis_volans",20,89.184726667
"47","Cathayornis",21,50.265126015
"48","Concornis",21,46.661559137
"49","Vorona",19,108.625981316
"50","Liaoningornis_longidigitus",19,52.215571886
"51","Xixiasaurus",13,87.676823357
"52","Byronosaurus_jaffei",13,92.824764127
"53","Mei_long",13,50.077058507
"54","Sinovenator_changii",13,51.495281987
"55","EK_troodontid_IGM_100_slash_44",13,39.114737627
"56","Sinornithoides_youngi",14,48.100484799
"57","Troodon_formosus",15,91.207105299
