"","species","nodecount","time"
"1","Pisanosaurus_mertii",3,11.6
"2","Eocursor_parvus",4,29.45
"3","Lesothosaurus_diagnosticus",5,48.25
"4","Scutellosaurus_lawleri",7,53.300000003
"5","Emausaurus_ernsti",8,63.75
"6","Scelidosaurus_harrisonii",9,49.250000004
"7","Huayangosaurus_taibaii",12,77.4000000031
"8","Taxon_6",12,84.484749388
"9","Paranthodon_africanus",13,104.850000003
"10","Taxon_9",13,94.123135303
"11","Chungkingosaurus_jiangbeiensis",13,85.200000003
"12","Chialingosaurus_kuani",14,86.500000003
"13","Wuerhosaurus_homheni",17,124.349999998
"14","Taxon_48",18,119.118807243
"15","Taxon_94",18,101.504390183
"16","Dacentrurus_armatus",18,90.8500000028
"17","Taxon_24",18,105.7343159808
"18","Hesperosaurus_mjosi",17,87.100000003
"19","Tuojiangosaurus_multispinus",16,85.200000003
"20","Kentrosaurus_aethiopicus",19,94.399999999
"21","Taxon_105",19,94.104006939
"22","Lexovisaurus_durobrivensis",18,80.000000003
"23","Stegosaurus_armatus",18,93.150000003
"24","Stegosaurus_stenops",18,93.150000003
"25","Struthiosaurus_austriacus",11,166.450000007
"26","Hungarosaurus_tormai",13,159.350000007
"27","Taxon_97",13,98.333090117
"28","Hylaeosaurus_armatus",15,107.650000007
"29","Cedarpelta_bilbeyhallorum",16,142.675000007
"30","Pawpawsaurus_campbelli",17,140.675000007
"31","Sauropelta_edwardsorum",18,131.100000007
"32","Silvisaurus_condrayi",19,137.550000007
"33","Panoplosaurus_mirus",20,170.100000007
"34","Edmontonia_longiceps",21,166.450000003
"35","Edmontonia_rugosidens",21,176.35
"36","Taxon_49",14,96.489965761
"37","Gargoyleosaurus_parkpinorum",14,93.150000007
"38","Animantarx_ramaljonesi",15,142.675000007
"39","Minmi_paravertebra",17,111.4500000024
"40","Taxon_98",17,94.5258539324
"41","Mymoorapelta_maysi",18,93.150000007
"42","Gastonia_burgei",19,115.750000007
"43","Polacanthus_foxii",19,112.900000007
"44","Gobisaurus_domoculus",18,152.450000007
"45","Shamosaurus_scutatus",19,130.899999997
"46","Tianzhenosaurus_youngi",21,161.049999997
"47","Tsagantegia_longicranialis",21,155.549999997
"48","Talarurus_plicatospineus",22,155.549999997
"49","Pinacosaurus_grangeri",23,166.449999997
"50","Pinacosaurus_mephistocephalus",23,170.099999997
"51","Nodocephalosaurus_kirtlandensis",22,170.099999997
"52","Ankylosaurus_magniventris",24,176.349999997
"53","Euoplocephalus_tutus",24,170.099999997
"54","Saichania_chulsanensis",24,166.449999997
"55","Tarchia_gigantea",24,167.549999997
"56","Stormbergia_dangershoeki",7,48.250000002
"57","Heterodontosaurus_tucki",10,48.250000006
"58","Abrictosaurus_consors",10,48.250000006
"59","Stenopelix_valdensis",12,102.099999995
"60","Taxon_86",12,112.102398615
"61","Wannanosaurus_yansiensis",13,173.29999999
"62","Yaverlandia_bitholus",14,115.74999999
"63","Goyocephale_lattimorei",15,171.19999999
"64","Homalocephale_calathocercos",16,171.19999999
"65","Ornatotholus_browni",17,170.09999999
"66","Stegoceras_validum",18,166.44999999
"67","Dwarf_pachycephalosaur",20,170.09999999
"68","Prenocephale_prenes",21,171.19999999
"69","Tylocephale_gilmorei",21,166.44999999
"70","Pachycephalosaurus_wyomingensis",21,175.24999999
"71","Stygimoloch_spinifer",21,176.34999999
"72","Prenocephale_goodwini",22,170.09999999
"73","Sphaerotholus_buchholtzae",22,175.24999999
"74","Prenocephale_edmontonensis",22,170.09999999
"75","Prenocephale_brevis",22,170.09999999
"76","Taxon_84",12,99.32486165
"77","Yinlong_downsi",11,83.899999997
"78","Psittacosaurus_guyangensis",14,130.900000004
"79","Taxon_75",14,87.984175644
"80","Taxon_43",13,83.39419417
"81","Chaoyangsaurus_youngi",15,103.499999996
"82","Taxon_7",15,90.499267226
"83","Xuanhuaceratops_niei",14,77.399999999
"84","Psittacosaurus_mongoliensis",15,106.399999997
"85","Psittacosaurus_sinensis",15,124.65
"86","Liaoceratops_yanzigouensis",16,120.199999998
"87","Yamaceratops_dorngobiensis",17,159.349999998
"88","Archaeoceratops_oshimai",18,122.3999999946
"89","Montanoceratops_cerorhynchus",20,173.2999999943
"90","Protoceratops_hellenikorhinus",21,161.3999999943
"91","Prenoceratops_pieganensis",22,166.4499999943
"92","Leptoceratops_gracilis",23,175.2499999903
"93","Udanoceratops_tschizhovi",23,166.4499999933
"94","Bagaceratops_rozhdestvenskyi",21,166.4499999943
"95","Graciliceratops_mongoliensis",22,152.2499999943
"96","Protoceratops_andrewsi",22,170.0999999943
"97","Zuniceratops_christopheri",21,152.0999999943
"98","Avaceratops_lammersi",22,170.0999999943
"99","Monoclonius_crassus",24,166.4499999943
"100","Styracosaurus_albertensis",26,170.0999999943
"101","Centrosaurus_apertus",27,166.4499999943
"102","Centrosaurus_brinkmani",27,170.0999999943
"103","Einiosaurus_procurvicornis",26,166.4499999943
"104","Achelousaurus_horneri",27,166.4499999943
"105","Pachyrhinosaurus_canadensis",28,171.1999999943
"106","Pachyrhinosaurus_n._sp.",28,169.4999999943
"107","Vagaceratops_irvinensis",25,170.0999999943
"108","Pentaceratops_sternbergii",26,170.0999999943
"109","Agujaceratops_mariscalensis",27,166.4499999943
"110","Chasmosaurus_belli",28,170.0999999943
