"","species","nodecount","time"
"1","Pisanosaurus",2,1
"2","Lesothosaurus",3,34.169884842
"3","Scutellosaurus",5,46.85844184
"4","Laquintasaura",5,32.42360813
"5","Emausaurus",5,48.141625689
"6","Scelidosaurus",6,39.746611379
"7","Alcovasaurus_longispinus",7,76.510112789
"8","Huayangosaurus",11,61.888845229
"9","Chungkingosaurus",11,72.641823789
"10","Paranthodon",11,91.512138779
"11","Tuojiangosaurus",11,72.365152669
"12","Jiangjunosaurus",10,72.070675676
"13","Gigantspinosaurus",11,72.343529235
"14","Kentrosaurus",12,86.08705402
"15","D._armatus",13,77.51518823
"16","Loricatosaurus",14,67.440648
"17","Miragaia",16,83.007704144
"18","Hesperosaurus",16,75.490471782
"19","S._homheni",16,119.820376206
"20","S._stenops",16,79.694061586
"21","Sauropelta",9,118.770248789
"22","Gastonia",10,104.167860849
"23","Euoplocephalus",10,154.191186639
