"","species","nodecount","time"
"1","Pisanosaurus",2,1
"2","Lesothosaurus",3,42.93524406
"3","Scutellosaurus",5,41.940609654
"4","Laquintasaura",5,35.39964245
"5","Emausaurus",5,52.216684633
"6","Scelidosaurus",6,39.173424963
"7","Alcovasaurus_longispinus",7,81.830252153
"8","Huayangosaurus",11,67.747677537
"9","Chungkingosaurus",11,73.902535205
"10","Paranthodon",11,96.804017868
"11","Tuojiangosaurus",11,76.554309198
"12","Jiangjunosaurus",10,76.003955363
"13","Gigantspinosaurus",11,73.132985958
"14","Kentrosaurus",12,86.039650503
"15","D._armatus",13,79.250679263
"16","Loricatosaurus",14,70.602504393
"17","Miragaia",16,82.716138068
"18","Hesperosaurus",16,81.666118953
"19","S._homheni",16,113.591483897
"20","S._stenops",16,84.545886277
"21","Sauropelta",9,130.062852443
"22","Gastonia",10,108.255172693
"23","Euoplocephalus",10,160.259188473
