"","species","nodecount","time"
"1","Pisanosaurus",2,1
"2","Lesothosaurus",3,29.574398253
"3","Scutellosaurus",5,31.549870435
"4","Laquintasaura",5,30.58938329
"5","Emausaurus",5,48.094487289
"6","Scelidosaurus",6,38.794241999
"7","Alcovasaurus_longispinus",7,73.733278709
"8","Huayangosaurus",11,66.542448615
"9","Chungkingosaurus",11,70.086099465
"10","Paranthodon",11,86.761431182
"11","Tuojiangosaurus",11,70.718487122
"12","Jiangjunosaurus",10,71.106523395
"13","Gigantspinosaurus",11,70.593371607
"14","Kentrosaurus",12,79.748505949
"15","D._armatus",13,79.163165579
"16","Loricatosaurus",14,68.736151859
"17","Miragaia",16,80.622236128
"18","Hesperosaurus",16,73.933428566
"19","S._homheni",16,119.373122766
"20","S._stenops",16,79.444584446
"21","Sauropelta",9,124.839120039
"22","Gastonia",10,101.308056639
"23","Euoplocephalus",10,151.833426099
