"","species","nodecount","time"
"1","Pisanosaurus_mertii",3,11.6
"2","Eocursor_parvus",4,29.45
"3","Lesothosaurus_diagnosticus",5,48.25
"4","Scutellosaurus_lawleri",7,53.300000003
"5","Emausaurus_ernsti",8,63.75
"6","Scelidosaurus_harrisonii",9,49.250000004
"7","Huayangosaurus_taibaii",12,77.4000000034
"8","Taxon_59",12,81.224321691
"9","Paranthodon_africanus",13,104.850000003
"10","Taxon_24",13,112.958789273
"11","Chungkingosaurus_jiangbeiensis",13,85.200000003
"12","Chialingosaurus_kuani",15,86.500000003
"13","Taxon_90",15,90.605608007
"14","Wuerhosaurus_homheni",16,124.350000003
"15","Dacentrurus_armatus",17,90.850000003
"16","Hesperosaurus_mjosi",17,87.100000003
"17","Tuojiangosaurus_multispinus",16,85.200000003
"18","Kentrosaurus_aethiopicus",18,94.400000003
"19","Lexovisaurus_durobrivensis",18,80.000000003
"20","Stegosaurus_armatus",18,93.150000003
"21","Stegosaurus_stenops",18,93.150000003
"22","Struthiosaurus_austriacus",12,166.450000004
"23","Taxon_84",12,95.563413621
"24","Hungarosaurus_tormai",14,159.35000001
"25","Taxon_57",14,100.94669788
"26","Taxon_15",13,91.345296301
"27","Hylaeosaurus_armatus",14,107.650000007
"28","Cedarpelta_bilbeyhallorum",15,142.675000007
"29","Pawpawsaurus_campbelli",16,140.675000007
"30","Sauropelta_edwardsorum",17,131.100000007
"31","Silvisaurus_condrayi",18,137.550000007
"32","Panoplosaurus_mirus",19,170.100000007
"33","Edmontonia_longiceps",20,166.450000003
"34","Edmontonia_rugosidens",20,176.35
"35","Gargoyleosaurus_parkpinorum",14,93.150000007
"36","Animantarx_ramaljonesi",15,142.675000007
"37","Minmi_paravertebra",17,111.450000005
"38","Taxon_13",18,98.6728961747
"39","Taxon_69",18,95.3469869947
"40","Mymoorapelta_maysi",18,93.150000007
"41","Gastonia_burgei",19,115.750000007
"42","Polacanthus_foxii",19,112.900000007
"43","Gobisaurus_domoculus",19,152.450000004
"44","Shamosaurus_scutatus",20,130.899999994
"45","Tianzhenosaurus_youngi",22,161.049999994
"46","Tsagantegia_longicranialis",22,155.549999994
"47","Talarurus_plicatospineus",23,155.549999994
"48","Pinacosaurus_grangeri",24,166.449999994
"49","Pinacosaurus_mephistocephalus",24,170.099999994
"50","Nodocephalosaurus_kirtlandensis",23,170.099999994
"51","Ankylosaurus_magniventris",25,176.349999994
"52","Euoplocephalus_tutus",25,170.099999994
"53","Saichania_chulsanensis",25,166.449999994
"54","Tarchia_gigantea",25,167.549999994
"55","Taxon_68",19,113.1570369865
"56","Taxon_85",19,97.9708753965
"57","Stormbergia_dangershoeki",7,48.250000002
"58","Heterodontosaurus_tucki",10,48.250000006
"59","Abrictosaurus_consors",10,48.250000006
"60","Stenopelix_valdensis",11,102.099999994
"61","Wannanosaurus_yansiensis",12,173.299999994
"62","Yaverlandia_bitholus",13,115.749999994
"63","Goyocephale_lattimorei",14,171.199999994
"64","Homalocephale_calathocercos",15,171.199999994
"65","Ornatotholus_browni",16,170.099999994
"66","Stegoceras_validum",17,166.449999994
"67","Dwarf_pachycephalosaur",19,170.099999994
"68","Prenocephale_prenes",20,171.199999994
"69","Tylocephale_gilmorei",20,166.449999994
"70","Pachycephalosaurus_wyomingensis",20,175.249999994
"71","Stygimoloch_spinifer",20,176.349999994
"72","Prenocephale_goodwini",21,170.099999994
"73","Sphaerotholus_buchholtzae",21,175.249999994
"74","Prenocephale_edmontonensis",21,170.099999994
"75","Prenocephale_brevis",21,170.099999994
"76","Yinlong_downsi",11,83.899999997
"77","Psittacosaurus_guyangensis",12,130.9
"78","Chaoyangsaurus_youngi",14,103.499999996
"79","Xuanhuaceratops_niei",14,77.399999999
"80","Psittacosaurus_mongoliensis",15,106.399999997
"81","Psittacosaurus_sinensis",15,124.65
"82","Liaoceratops_yanzigouensis",16,120.200000007
"83","Yamaceratops_dorngobiensis",17,159.350000007
"84","Archaeoceratops_oshimai",18,122.4000000036
"85","Montanoceratops_cerorhynchus",20,173.3000000033
"86","Protoceratops_hellenikorhinus",21,161.4000000033
"87","Prenoceratops_pieganensis",22,166.4500000033
"88","Leptoceratops_gracilis",23,175.2499999993
"89","Udanoceratops_tschizhovi",23,166.4500000023
"90","Bagaceratops_rozhdestvenskyi",21,166.4500000033
"91","Graciliceratops_mongoliensis",22,152.2500000033
"92","Protoceratops_andrewsi",22,170.1000000033
"93","Zuniceratops_christopheri",21,152.1000000033
"94","Avaceratops_lammersi",22,170.1000000033
"95","Monoclonius_crassus",24,166.4500000033
"96","Styracosaurus_albertensis",26,170.1000000033
"97","Centrosaurus_apertus",27,166.4500000033
"98","Centrosaurus_brinkmani",27,170.1000000033
"99","Einiosaurus_procurvicornis",26,166.4500000033
"100","Achelousaurus_horneri",27,166.4500000033
"101","Pachyrhinosaurus_canadensis",28,171.2000000033
"102","Pachyrhinosaurus_n._sp.",28,169.5000000033
"103","Vagaceratops_irvinensis",25,170.1000000033
"104","Pentaceratops_sternbergii",26,170.1000000033
"105","Agujaceratops_mariscalensis",27,166.4500000033
"106","Chasmosaurus_belli",28,170.1000000033
"107","Chasmosaurus_russelli",28,170.1000000033
"108","Anchiceratops_ornatus",26,171.2000000043
"109","Arrhinoceratops_brachyops",26,171.2000000043
