"","species","nodecount","time"
"1","Pisanosaurus",2,1
"2","Lesothosaurus",3,35.283188794
"3","Scutellosaurus",5,36.378893757
"4","Laquintasaura",5,33.61228849
"5","Emausaurus",5,50.009797422
"6","Scelidosaurus",6,37.069048212
"7","Alcovasaurus_longispinus",7,79.634381692
"8","Huayangosaurus",11,62.544997452
"9","Chungkingosaurus",11,74.752543792
"10","Paranthodon",11,91.960548221
"11","Tuojiangosaurus",11,70.954197071
"12","Jiangjunosaurus",10,73.724880939
"13","Gigantspinosaurus",11,71.366557159
"14","Kentrosaurus",12,87.741108646
"15","D._armatus",13,78.606378087
"16","Loricatosaurus",14,71.564632786
"17","Miragaia",16,80.887717454
"18","Hesperosaurus",16,77.053083783
"19","S._homheni",16,121.48722184
"20","S._stenops",16,83.89537416
"21","Sauropelta",9,122.539543332
"22","Gastonia",10,106.246184182
"23","Euoplocephalus",10,153.785470352
