"","species","nodecount","time"
"1","Shunosaurus",2,14.37292334
"2","Omeisaurus",3,10.814722257
"3","Mamenchisaurus",4,14.53271164
"4","HMNMB.R.2091.1-30",4,24.69938781
"5","Lapparentosaurus",4,7.045680666
"6","Jobaria",4,3
"7","Zby",5,22.072622593
"8","Losillasaurus",6,21.63724688
"9","Turiasaurus",6,28.174272523
"10","Atlasaurus",5,6.446694216
"11","Nigersaurus",7,56.176288655
"12","Apatosaurus",8,23.276690865
"13","Diplodocus",8,16.746688495
"14","Tehuelchesaurus",8,18.839099569
"15","Janenschia",9,23.516594838
"16","Haestasaurus",9,29.718149947
"17","Camarasaurus",8,27.390009609
"18","Aragosaurus",9,35.660357989
"19","Galveosaurus",10,25.759532009
"20","Europasaurus",12,17.320501578
"21","Vouivria",13,14.420287459
"22","Brachiosaurus",14,26.523457067
"23","Abydosaurus",15,77.366119636
"24","Cedarosaurus",15,47.571977986
"25","Giraffatitan",15,25.314632276
"26","Lusotitan",15,26.424204109
"27","Sonorasaurus",15,76.613137746
"28","Venenosaurus",15,45.317408536
"29","Andesaurus",12,79.143668569
"30","Huanghetitan",12,49.327497919
"31","Huanghetitanruyangensis",12,57.340488659
"32","Malarguesaurus",12,86.587468629
"33","Paluxysaurus",12,50.472201829
"34","Ruyangosaurus",12,73.025069229
"35","Sauroposeidon",12,63.699261289
"36","Wintonotitan",12,73.583807449
"37","Tastavinsaurus",13,47.911848389
"38","Angolatitan",14,85.116880989
"39","Chubutisaurus",14,71.731600439
"40","Cloverlytitanosauriform",13,72.47553004
"41","Padillasaurus",13,44.16410801
"42","Dongbeititan",14,45.978912552
"43","Ligabuesaurus",14,63.723000152
"44","Euhelopus",14,38.694968819
"45","Erketu",15,83.809011549
"46","Gobititan",15,57.299849879
"47","Qiaowanlong",14,58.301713087
"48","Phuwiangosaurus",15,44.753229897
"49","Tangvayosaurus",15,53.257773878
"50","Baotianmansaurus",14,83.65945406
"51","Dongyangosaurus",14,75.523179772
"52","Savannasaurus",15,78.962300196
"53","Diamantinasaurus",16,80.362054356
"54","AODF_836",16,74.414018972
"55","Daxiatitan",16,48.486588742
"56","Xianshanosaurus",16,79.354375922
"57","Malawisaurus",16,54.429951328
"58","Rapetosaurus",18,103.818599453
"59","Saltasaurus",18,104.254011913
"60","Nemegtosaurus",18,97.380366553
"61","Tapuiasaurus",18,56.213198803
"62","Aeolosaurus",18,93.808473823
"63","Isisaurus",18,105.897321163
"64","Opisthocoelicaudia",19,94.884633133
"65","Alamosaurus",20,103.884052533
"66","Jiangshanosaurus",20,67.302023433
"67","Pitekunsaurus",18,93.651185525
"68","Epachthosaurus",19,74.559685085
"69","Muyelensaurus",21,89.44832359
"70","Rinconsaurus",21,88.680197095
"71","Mendozasaurus",21,86.623850305
"72","Futalognkosaurus",22,81.567004275
"73","Argentinosaurus",23,79.902312765
"74","Notocolossus",24,86.779474075
"75","Patagotitan",24,70.286503345
"76","Puertasaurus",24,104.051083435
