treename,slow,asym,slow_orni,asym_orni,slow_sauro,asym_sauro,slow_thero,asym_thero
lloyd2008,135,160,137,161,120,144,135,160
4,134,160,134,158,121,143,134,160
21,132,149,134,159,121,144,132,149
42,132,151,134,162,121,145,132,151
105,131,149,136,177,120,136,131,149
210,131,150,131,161,121,139,131,150
