tree.ID,tree,null_DIC,slow_DIC,asym_DIC,null_post_mean,null_lower95_CI,null_upper95_CI,null_ess,null_pMCMC,slow_post_mean,slow_post_mean_2,slow_lower95_CI,slow_upper95_CI,slow_lower95_CI_2,slow_upper95_CI_2,slow_ess,slow_pMCMC,asym_post_mean_sqrt,asym_lower95_CI_sqrt,asym_upper95_CI_sqrt,asym_ess,asym_pMCMC
1,Arbour.phy.nex,303.9630634,286.0476588,285.3633021,0.014160381,0.009024582,0.021062537,359.7724985,0.002222222,0.044565092,-1.86E-04,0.036335524,0.051230095,-2.35E-04,-1.32E-04,450,0.002222222,0.249562767,0.210334405,0.27577051,387.5929825,0.002222222
2,Arbour.phy.nex,305.8713421,287.0973865,286.9777351,0.014019044,0.007536934,0.020035901,450,0.002222222,0.043993031,-1.80E-04,0.035231178,0.050759623,-2.30E-04,-1.20E-04,524.5373484,0.002222222,0.246957973,0.216821712,0.279716599,450,0.002222222
3,Arbour.phy.nex,305.0286923,286.8511292,288.2198093,0.012964327,0.006806297,0.018242652,450,0.002222222,0.044326689,-1.86E-04,0.037920304,0.055015767,-2.50E-04,-1.33E-04,450,0.002222222,0.241201592,0.198725653,0.273429551,450,0.002222222
4,Arbour.phy.nex,303.5241645,284.8015558,285.1090005,0.013617038,0.008328896,0.01903906,450,0.002222222,0.042542332,-1.69E-04,0.035174552,0.050432386,-2.21E-04,-1.20E-04,625.4870469,0.002222222,0.245505462,0.214330927,0.27842742,450,0.002222222
5,Arbour.phy.nex,302.4505201,285.2599057,285.2617011,0.013178678,0.007269814,0.01880922,536.1877165,0.002222222,0.041538042,-1.62E-04,0.033925652,0.049200231,-2.07E-04,-1.08E-04,450,0.002222222,0.242397649,0.203524198,0.272915174,450,0.002222222
6,Arbour.phy.nex,305.6831967,284.9569361,286.0829057,0.014132038,0.007602035,0.019478147,456.8719522,0.002222222,0.045433049,-1.92E-04,0.038728932,0.052935814,-2.46E-04,-1.40E-04,450,0.002222222,0.247622189,0.213243551,0.277110471,450,0.002222222
7,Arbour.phy.nex,302.3022589,284.4847723,284.4494343,0.014557671,0.008886644,0.020419339,487.1164173,0.002222222,0.042415305,-1.67E-04,0.034696427,0.048799194,-2.10E-04,-1.13E-04,450,0.002222222,0.243034327,0.207740259,0.274975852,362.9863522,0.002222222
8,Arbour.phy.nex,304.1420459,285.4359381,284.7589682,0.014782744,0.008970956,0.01985946,450,0.002222222,0.0422095,-1.65E-04,0.034867971,0.050114273,-2.10E-04,-1.03E-04,450,0.002222222,0.246390604,0.208853926,0.273141358,386.4695126,0.002222222
9,Arbour.phy.nex,302.4629441,283.9342672,283.8126756,0.013646245,0.008433996,0.018889878,450,0.002222222,0.041823607,-1.63E-04,0.034790347,0.04909499,-2.22E-04,-1.15E-04,450,0.002222222,0.239563449,0.204460683,0.270075661,450,0.002222222
10,Arbour.phy.nex,303.3272592,285.3170353,285.0148645,0.013998001,0.008214129,0.01967108,450,0.002222222,0.042882507,-1.72E-04,0.0348829,0.051018504,-2.38E-04,-1.24E-04,450,0.002222222,0.245551273,0.209731591,0.277277515,450,0.002222222
11,Arbour.phy.nex,304.6028651,286.3924547,286.9715768,0.013014158,0.007726493,0.018557597,450,0.002222222,0.04331678,-1.76E-04,0.036248973,0.051252826,-2.28E-04,-1.30E-04,450,0.002222222,0.241003861,0.206325091,0.270812435,450,0.002222222
12,Arbour.phy.nex,304.0405531,285.1586435,286.0632396,0.013479384,0.008218168,0.019007613,411.9249749,0.002222222,0.043338813,-1.75E-04,0.035633566,0.050706725,-2.24E-04,-1.24E-04,291.9677456,0.002222222,0.243438952,0.212205575,0.276710176,310.6870261,0.002222222
13,Arbour.phy.nex,301.9606706,283.8481413,283.8931808,0.013871997,0.008248993,0.019387327,279.1635203,0.002222222,0.041861593,-1.63E-04,0.034210037,0.049214928,-2.13E-04,-1.17E-04,450,0.002222222,0.243924301,0.215705279,0.273316918,450,0.002222222
14,Arbour.phy.nex,303.9234373,284.7256876,285.7761853,0.012984071,0.00818802,0.019172782,379.7583096,0.002222222,0.042309205,-1.68E-04,0.035018551,0.049966721,-2.16E-04,-1.18E-04,450,0.002222222,0.239592566,0.20262827,0.270488573,450,0.002222222
15,Arbour.phy.nex,304.3076882,285.5427602,285.4421534,0.014032805,0.007984422,0.020109775,450,0.002222222,0.043076211,-1.73E-04,0.033984436,0.049357605,-2.28E-04,-1.24E-04,521.5514574,0.002222222,0.245106679,0.204915101,0.273088063,534.6013888,0.002222222
16,Arbour.phy.nex,302.3051457,284.0125582,284.1496828,0.014159594,0.009061174,0.020092603,450,0.002222222,0.04168596,-1.61E-04,0.032961946,0.048051188,-2.14E-04,-1.12E-04,450,0.002222222,0.241065539,0.205588613,0.270710465,681.3785196,0.002222222
17,Arbour.phy.nex,304.0467409,285.5553486,285.9298643,0.013770276,0.007491595,0.018880855,450,0.002222222,0.042657674,-1.69E-04,0.035570745,0.049596357,-2.15E-04,-1.19E-04,417.5383232,0.002222222,0.241169328,0.198312608,0.271773439,450,0.002222222
18,Arbour.phy.nex,304.2659356,284.7732936,285.4601079,0.013689625,0.007274801,0.019291978,538.3618211,0.002222222,0.044444153,-1.84E-04,0.037374519,0.051564053,-2.32E-04,-1.34E-04,450,0.002222222,0.248598638,0.212547982,0.27617468,450,0.002222222
19,Arbour.phy.nex,302.8038158,286.1012032,285.1692203,0.013815343,0.008610154,0.019573071,450,0.002222222,0.042977674,-1.73E-04,0.035381256,0.05154452,-2.28E-04,-1.16E-04,450,0.002222222,0.244824599,0.203402195,0.270150353,450,0.002222222
20,Arbour.phy.nex,305.5581851,287.6901017,288.9705113,0.012577793,0.006269738,0.019070788,450,0.002222222,0.043954416,-1.81E-04,0.036834146,0.050833508,-2.31E-04,-1.30E-04,378.7574561,0.002222222,0.243640806,0.204511409,0.270511401,450,0.002222222
21,Arbour.phy.nex,302.8699646,284.4872853,283.9883071,0.014131676,0.008136337,0.019807797,364.3248122,0.002222222,0.041789351,-1.62E-04,0.034698223,0.049263355,-2.13E-04,-1.09E-04,450,0.002222222,0.242804761,0.20662013,0.268984965,350.0303842,0.002222222
22,Arbour.phy.nex,306.2407098,288.0233773,288.3867224,0.013435548,0.007579184,0.018884086,379.7594223,0.002222222,0.044527523,-1.87E-04,0.037459337,0.0523604,-2.40E-04,-1.33E-04,476.9477738,0.002222222,0.245905311,0.207767856,0.273425701,450,0.002222222
23,Arbour.phy.nex,303.8995712,283.923237,285.4360463,0.014073005,0.007483533,0.019543276,450,0.002222222,0.04416937,-1.81E-04,0.03763069,0.051768933,-2.34E-04,-1.39E-04,450,0.002222222,0.248342903,0.212334202,0.274737597,450,0.002222222
24,Arbour.phy.nex,304.6912184,286.767458,287.8724007,0.013026829,0.006653119,0.019219182,555.5563266,0.002222222,0.044761913,-1.88E-04,0.037803202,0.051890802,-2.34E-04,-1.40E-04,450,0.002222222,0.245659622,0.212267822,0.277403985,450,0.002222222
25,Arbour.phy.nex,304.2278397,285.4431678,286.3313525,0.013279008,0.007070801,0.019413585,450,0.002222222,0.0443605,-1.83E-04,0.037124616,0.051439473,-2.37E-04,-1.38E-04,450,0.002222222,0.24562103,0.210337926,0.274405589,450,0.002222222
26,Arbour.phy.nex,303.3452102,283.9286533,284.5829069,0.013973729,0.008623135,0.019833393,450,0.002222222,0.043247167,-1.73E-04,0.035130638,0.050000221,-2.23E-04,-1.22E-04,450,0.002222222,0.244414168,0.213172846,0.274409329,450,0.002222222
27,Arbour.phy.nex,305.4066567,285.1992666,285.7624081,0.01361631,0.007833019,0.020162006,450,0.002222222,0.044506747,-1.85E-04,0.037388944,0.052110661,-2.35E-04,-1.31E-04,589.2243865,0.002222222,0.247475809,0.213780714,0.279690526,450,0.002222222
28,Arbour.phy.nex,301.9547918,284.2039364,285.0500303,0.013847377,0.008329904,0.019270722,450,0.002222222,0.043670271,-1.78E-04,0.035089972,0.050466004,-2.27E-04,-1.22E-04,450,0.002222222,0.246010105,0.209931956,0.276722111,450,0.002222222
29,Arbour.phy.nex,305.3537409,285.7655071,287.3769453,0.012841262,0.006572735,0.017893566,342.8052929,0.002222222,0.042705559,-1.71E-04,0.035381896,0.049846753,-2.25E-04,-1.27E-04,450,0.002222222,0.24005111,0.209186793,0.272910587,466.9949669,0.002222222
30,Arbour.phy.nex,302.9868296,284.5104264,284.2667425,0.014858265,0.008376151,0.019983567,450,0.002222222,0.043141696,-1.74E-04,0.034561159,0.050099298,-2.24E-04,-1.15E-04,418.9725755,0.002222222,0.247294354,0.213366036,0.280667145,450,0.002222222
31,Arbour.phy.nex,305.6971629,285.3555873,286.3790781,0.013804989,0.00721364,0.018902353,450,0.002222222,0.043672515,-1.76E-04,0.03746049,0.052239882,-2.33E-04,-1.32E-04,450,0.002222222,0.244470182,0.210265394,0.27495465,454.7145746,0.002222222
32,Arbour.phy.nex,305.1829817,286.0160916,287.4943667,0.013184805,0.007989251,0.01914235,450,0.002222222,0.044004052,-1.81E-04,0.036674259,0.050857128,-2.29E-04,-1.29E-04,450,0.002222222,0.243604936,0.206514048,0.278741767,488.5614705,0.002222222
33,Arbour.phy.nex,305.0908829,285.8109364,286.0880382,0.013723157,0.008328966,0.019510275,457.1300643,0.002222222,0.042783945,-1.70E-04,0.03595038,0.049826325,-2.16E-04,-1.16E-04,450,0.002222222,0.243369168,0.2035021,0.270790726,450,0.002222222
34,Arbour.phy.nex,304.5985309,284.8649888,285.6535844,0.013559635,0.007715231,0.019449536,522.3479345,0.002222222,0.043099911,-1.74E-04,0.036168316,0.05030538,-2.27E-04,-1.29E-04,513.5295757,0.002222222,0.245380849,0.212581835,0.27651173,497.930127,0.002222222
35,Arbour.phy.nex,303.9197972,284.3928383,285.9984637,0.013050531,0.00692593,0.018209758,450,0.002222222,0.042862317,-1.72E-04,0.036338566,0.049990525,-2.16E-04,-1.14E-04,450,0.002222222,0.243760083,0.211964591,0.276225058,450,0.002222222
36,Arbour.phy.nex,304.3735661,284.9611616,285.7153257,0.013198113,0.007306134,0.018457854,450,0.002222222,0.043723786,-1.78E-04,0.037354338,0.051075143,-2.25E-04,-1.29E-04,450,0.002222222,0.245303458,0.205276276,0.276585578,450,0.002222222
