tree,age,max,min
Arbour.phy,201.1408330489183,201.3,66
Arbour.phy,199.4772458892083,201.3,66
Arbour.phy,199.09216315655505,201.3,66
Arbour.phy,193.6785498281941,201.3,66
Arbour.phy,194.0109402823262,201.3,66
Arbour.phy,200.59459429939744,201.3,66
Arbour.phy,202.1221504794201,201.3,66
Arbour.phy,197.75817587547937,201.3,66
Arbour.phy,201.1074163272977,201.3,66
Arbour.phy,199.9752167880768,201.3,66
Arbour.phy,201.54522426852492,201.3,66
Arbour.phy,197.07428110677284,201.3,66
Arbour.phy,199.6149225517409,201.3,66
Arbour.phy,197.08990114235786,201.3,66
Arbour.phy,197.91336387658959,201.3,66
Arbour.phy,199.82447570825462,201.3,66
Arbour.phy,195.03321991332342,201.3,66
Arbour.phy,198.558202704601,201.3,66
Arbour.phy,200.13904357708526,201.3,66
Arbour.phy,198.13048554928974,201.3,66
Arbour.phy,197.76508189663292,201.3,66
Arbour.phy,197.4849106468726,201.3,66
Arbour.phy,199.38273253100925,201.3,66
Arbour.phy,201.6073287846055,201.3,66
Arbour.phy,199.34690926906188,201.3,66
Arbour.phy,196.46839513438755,201.3,66
Arbour.phy,198.0214658643352,201.3,66
Arbour.phy,199.24523239135743,201.3,66
Arbour.phy,200.54512389698067,201.3,66
Arbour.phy,200.66525638238528,201.3,66
Arbour.phy,198.40224877938164,201.3,66
Arbour.phy,200.2177043796517,201.3,66
Arbour.phy,195.70856684942265,201.3,66
Arbour.phy,201.22622629762628,201.3,66
Arbour.phy,198.44854830189144,201.3,66
Arbour.phy,193.4590071542887,201.3,66
Arbour.phy,202.0959551953245,201.3,66
Arbour.phy,201.96277331556195,201.3,66
Arbour.phy,200.7028651888948,201.3,66
Arbour.phy,198.7158515664749,201.3,66
Arbour.phy,201.01971552877222,201.3,66
Arbour.phy,200.0690087365918,201.3,66
Arbour.phy,201.66527018155904,201.3,66
Arbour.phy,200.29377647123766,201.3,66
Arbour.phy,196.80708688993474,201.3,66
Arbour.phy,200.57055226708763,201.3,66
Arbour.phy,200.96493634029758,201.3,66
Arbour.phy,200.9831367315026,201.3,66
Arbour.phy,198.58867170808372,201.3,66
Arbour.phy,198.78295474308544,201.3,66
Arbour.phy,194.5734534282936,201.3,66
Arbour.phy,198.6148548344616,201.3,66
Arbour.phy,201.29379799852614,201.3,66
Arbour.phy,199.28599036596717,201.3,66
Arbour.phy,201.73132664903534,201.3,66
Arbour.phy,194.5783519892255,201.3,66
Arbour.phy,198.5770867162617,201.3,66
Arbour.phy,195.18488959369716,201.3,66
Arbour.phy,200.1477923711762,201.3,66
Arbour.phy,197.79878960545176,201.3,66
Arbour.phy,200.06212806382683,201.3,66
Arbour.phy,198.3321758191567,201.3,66
Arbour.phy,199.77864646429663,201.3,66
Arbour.phy,200.56497302250938,201.3,66
Arbour.phy,196.110491944314,201.3,66
Arbour.phy,201.11687433074695,201.3,66
Arbour.phy,195.21566483501812,201.3,66
Arbour.phy,200.94551494258923,201.3,66
Arbour.phy,199.13915651147255,201.3,66
Arbour.phy,200.35591637955514,201.3,66
Arbour.phy,201.54778514145875,201.3,66
Arbour.phy,200.66235411593226,201.3,66
Arbour.phy,201.1880166457966,201.3,66
Arbour.phy,201.1106261988869,201.3,66
Arbour.phy,198.00612891553902,201.3,66
Arbour.phy,193.9810168576194,201.3,66
Arbour.phy,200.51765861369205,201.3,66
Arbour.phy,200.83354498452974,201.3,66
Arbour.phy,195.1441566680558,201.3,66
Arbour.phy,199.53542574292516,201.3,66
Arbour.phy,200.17005603755825,201.3,66
Arbour.phy,198.76156605845318,201.3,66
Arbour.phy,195.6576587130083,201.3,66
Arbour.phy,201.02192822932267,201.3,66
Arbour.phy,198.16299053067343,201.3,66
Arbour.phy,199.56834109728226,201.3,66
Arbour.phy,200.13568226266653,201.3,66
Arbour.phy,198.00024197059685,201.3,66
Arbour.phy,201.4297123169061,201.3,66
Arbour.phy,199.92139941297938,201.3,66
Arbour.phy,197.18692052685657,201.3,66
Arbour.phy,201.61868310656865,201.3,66
Arbour.phy,200.42197683681735,201.3,66
Arbour.phy,198.41245543346741,201.3,66
Arbour.phy,196.03170368711,201.3,66
Arbour.phy,199.31253377588,201.3,66
Arbour.phy,200.25619695156348,201.3,66
Arbour.phy,201.02715070296546,201.3,66
Arbour.phy,201.28867460875773,201.3,66
Arbour.phy,195.27106614510996,201.3,66
Carballido.phy,224.39804712657352,228,66
Carballido.phy,224.2425884216791,228,66
Carballido.phy,223.16560602909885,228,66
Carballido.phy,228.6775337436702,228,66
Carballido.phy,230.0204685833305,228,66
Carballido.phy,225.07948283927982,228,66
Carballido.phy,224.9617710703751,228,66
Carballido.phy,218.46622105664574,228,66
Carballido.phy,229.09122178705874,228,66
Carballido.phy,223.92882830253802,228,66
Carballido.phy,220.5150350476848,228,66
Carballido.phy,221.43125944479834,228,66
Carballido.phy,230.6198797635734,228,66
Carballido.phy,225.41345754868817,228,66
Carballido.phy,224.27133035252336,228,66
Carballido.phy,223.86923465614672,228,66
Carballido.phy,224.91293393920643,228,66
Carballido.phy,224.11529962855857,228,66
Carballido.phy,230.1679073490668,228,66
Carballido.phy,226.28770160849672,228,66
Carballido.phy,221.0597678242484,228,66
Carballido.phy,229.04993014759384,228,66
Carballido.phy,222.46889471726027,228,66
Carballido.phy,215.0807332380675,228,66
Carballido.phy,219.5696704713395,228,66
Carballido.phy,223.0467001654208,228,66
Carballido.phy,227.2125178312417,228,66
Carballido.phy,230.96385737962555,228,66
Carballido.phy,219.8248157359194,228,66
Carballido.phy,232.69563836704475,228,66
Carballido.phy,224.87744230532553,228,66
Carballido.phy,223.26530576844235,228,66
Carballido.phy,230.50134462243878,228,66
Carballido.phy,223.03005590520334,228,66
Carballido.phy,229.89610417764635,228,66
Carballido.phy,228.71242152058986,228,66
Carballido.phy,217.71357531943357,228,66
Carballido.phy,231.7143134425627,228,66
Carballido.phy,231.09295143987984,228,66
Carballido.phy,223.04283060578163,228,66
Carballido.phy,230.79488683165982,228,66
Carballido.phy,222.6180940774735,228,66
Carballido.phy,233.75459199103062,228,66
Carballido.phy,219.0704466610914,228,66
Carballido.phy,224.39937404072845,228,66
Carballido.phy,214.9203451876994,228,66
Carballido.phy,230.5668885243358,228,66
Carballido.phy,225.28972868768034,228,66
Carballido.phy,223.43330316999928,228,66
Carballido.phy,230.75395975634456,228,66
Carballido.phy,223.48977460409515,228,66
Carballido.phy,227.5036193439737,228,66
Carballido.phy,220.1321706932271,228,66
Carballido.phy,223.51451154856477,228,66
