tree.ID,tree,null_DIC,slow_DIC,asym_DIC,null_post_mean,null_lower95_CI,null_upper95_CI,null_ess,null_pMCMC,slow_post_mean,slow_post_mean_2,slow_lower95_CI,slow_upper95_CI,slow_lower95_CI_2,slow_upper95_CI_2,slow_ess,slow_pMCMC,asym_post_mean_sqrt,asym_lower95_CI_sqrt,asym_upper95_CI_sqrt,asym_ess,asym_pMCMC
1,benson1_FAD.txt,3800.906696,3752.221634,3730.844709,0.005608438,0.004107893,0.00720344,450,0.002222222,0.037226377,-1.37E-04,0.032035406,0.04241469,-1.61E-04,-1.17E-04,450,0.002222222,0.188687604,0.168128766,0.209534623,349.5643402,0.002222222
2,benson1_LAD.txt,3729.692189,3625.955205,3628.66015,0.006495013,0.004910819,0.008000273,351.5428571,0.002222222,0.038598639,-1.39E-04,0.034630208,0.042656663,-1.54E-04,-1.21E-04,588.9687541,0.002222222,0.195335979,0.175801527,0.211065881,450,0.002222222
3,benson1_midpoint.txt,3748.067687,3667.036945,3660.792546,0.005924346,0.00427194,0.007220574,450,0.002222222,0.03852411,-1.40E-04,0.034271598,0.043217038,-1.61E-04,-1.23E-04,450,0.002222222,0.193087595,0.173229964,0.210889633,450,0.002222222
4,benson2_FAD.txt,3769.111551,3708.446959,3690.330242,0.005667967,0.003958165,0.006983752,450,0.002222222,0.038615143,-1.42E-04,0.034336256,0.042824692,-1.59E-04,-1.23E-04,382.9974624,0.002222222,0.191354011,0.171675986,0.209258112,450,0.002222222
5,benson2_LAD.txt,3696.959598,3585.15441,3591.296548,0.006531851,0.004821524,0.007895657,450,0.002222222,0.038917862,-1.39E-04,0.035387403,0.042960335,-1.57E-04,-1.23E-04,450,0.002222222,0.195331035,0.177047112,0.214228863,371.630447,0.002222222
6,benson2_midpoint.txt,3716.985895,3624.002903,3623.012836,0.005929458,0.004552093,0.007443812,450,0.002222222,0.038783714,-1.40E-04,0.034502342,0.043208306,-1.57E-04,-1.20E-04,450,0.002222222,0.194290414,0.175528567,0.210899842,450,0.002222222
7,lloyd_FAD.txt,2622.134922,2620.779912,2593.447937,0.005240418,0.003426157,0.00700527,450,0.002222222,0.036162509,-1.37E-04,0.03148463,0.041458646,-1.59E-04,-1.16E-04,315.5839508,0.002222222,0.191919761,0.167717933,0.215722096,450,0.002222222
8,lloyd_LAD.txt,2587.406262,2556.062352,2541.696805,0.005918679,0.004275661,0.007676122,450,0.002222222,0.039235218,-1.44E-04,0.035102848,0.043901632,-1.65E-04,-1.27E-04,378.7100668,0.002222222,0.197377837,0.177447,0.219151395,450,0.002222222
9,lloyd_midpoint.txt,2571.076394,2547.3892,2534.148689,0.00554233,0.003846739,0.007333159,450,0.002222222,0.037862887,-1.39E-04,0.033666646,0.042213669,-1.56E-04,-1.19E-04,450,0.002222222,0.192572224,0.166828481,0.212705681,450,0.002222222
