tree,best_model,best
Arbour,none,100
Carballido,slowdown,100
Cau,none,100
Chiba,none,100
CruzadoC,none,100
GonzalezR,none,100
Mallon,none,100
Raven,none,100
Thompson,none,76
Thompson,asymptote/slowdown,24
Benson1,asymptote/slowdown,100
Benson2,asymptote/slowdown,100
Lloyd,asymptote/slowdown,100
