identified_name,identified_rank,difference,accepted_name,accepted_rank,early_interval,late_interval,max_ma,min_ma
Lycorhinus n. sp. consors,species,recombined as,Abrictosaurus_consors,species,Hettangian,Sinemurian,201.3,190.8
n. gen. Acantholipan n. sp. gonzalezi,species,,Acantholipan_gonzalezi,species,Santonian,,86.3,83.6
Acanthopholis n. sp. macrocercus,species,,Acanthopholis_macrocercus,species,Early Cenomanian,,99.6,93.5
n. gen. Achelousaurus n. sp. horneri,species,,Achelousaurus_horneri,species,Late Campanian,,83.5,70.6
Acristavus gagslarsoni,species,,Acristavus_gagslarsoni,species,Early Campanian,Middle Campanian,83.5,70.6
n. gen. Acrotholus n. sp. audeti,species,,Acrotholus_audeti,species,Late Santonian,,85.8,83.5
n. gen. Adelolophus n. sp. hutchisoni,species,,Adelolophus_hutchisoni,species,Early Campanian,Middle Campanian,83.5,70.6
n. gen. Agilisaurus n. sp. louderbacki,species,,Agilisaurus_louderbacki,species,Bajocian,Callovian,170.3,163.5
Chasmosaurus mariscalensis,species,recombined as,Agujaceratops_mariscalensis,species,Late Campanian,,83.5,70.6
n. gen. Ahshislepelta n. sp. minor,species,,Ahshislepelta_minor,species,Late Campanian,,83.5,70.6
n. gen. Ajkaceratops n. sp. kozmai,species,,Ajkaceratops_kozmai,species,Santonian,,86.3,83.6
n. gen. Akainacephalus n. sp. johnsoni,species,,Akainacephalus_johnsoni,species,Late Campanian,,83.5,70.6
n. gen. Alaskacephale n. sp. gangloffi,species,,Alaskacephale_gangloffi,species,Late Campanian,,83.5,70.6
n. gen. Albalophosaurus n. sp. yamaguchiorum,species,,Albalophosaurus_yamaguchiorum,species,Valanginian,,139.8,132.9
n. gen. Albertaceratops n. sp. nesmoi,species,,Albertaceratops_nesmoi,species,Middle Campanian,,83.5,70.6
n. gen. Albertadromeus n. sp. syntarsus,species,,Albertadromeus_syntarsus,species,Campanian,,83.6,72.1
Alcovasaurus ? longispinus,species,,Alcovasaurus_longispinus,species,Kimmeridgian,,157.3,152.1
n. gen. Aletopelta n. sp. coombsi,species,,Aletopelta_coombsi,species,Late Campanian,,83.5,70.6
n. gen. Altirhinus n. sp. kurzanovi,species,,Altirhinus_kurzanovi,species,Middle Albian,Late Albian,109,99.6
Amblydactylus gethingi,species,,Amblydactylus_gethingi,species,Aptian,,125,113
Amblydactylus cf. kortmeyeri,species,,Amblydactylus_kortmeyeri,species,Valanginian,Barremian,139.8,125
Amtocephale gobiensis,species,,Amtocephale_gobiensis,species,Cenomanian,Turonian,100.5,89.8
n. gen. Amtosaurus n. sp. magnus,species,,Amtosaurus_magnus,species,Cenomanian,Turonian,100.5,89.8
n. gen. Amurosaurus n. sp. riabinini,species,,Amurosaurus_riabinini,species,Late Maastrichtian,,70.6,66
Anabisetia saldiviai,species,,Anabisetia_saldiviai,species,Middle Turonian,Late Turonian,93.5,89.3
n. gen. Anasazisaurus n. sp. horneri,species,,Anasazisaurus_horneri,species,Late Campanian,,83.5,70.6
Anatosaurus n. sp. copei,species,recombined as,Anatotitan_copei,species,Maastrichtian,,72.1,66
Anchiceratops n. sp. longirostris,species,subjective synonym of,Anchiceratops_ornatus,species,Maastrichtian,,72.1,66
n. gen. Angulomastacator n. sp. daviesi,species,,Angulomastacator_daviesi,species,Middle Campanian,,83.5,70.6
n. gen. Animantarx n. sp. ramaljonesi,species,,Animantarx_ramaljonesi,species,Late Albian,,105.3,99.6
n. gen. Ankylosaurus n. sp. magniventris,species,,Ankylosaurus_magniventris,species,Maastrichtian,,72.1,66
Anodontosaurus inceptus,species,,Anodontosaurus_inceptus,species,Late Campanian,Early Maastrichtian,83.5,66
Anodontosaurus lambei,species,,Anodontosaurus_lambei,species,Early Maastrichtian,,70.6,66
Masitisisauropodiscus n. sp. fringilla,species,recombined as,Anomoepus_fringilla,species,Hettangian,Sinemurian,201.3,190.8
Masitisisauropezus n. sp. minutus,species,recombined as,Anomoepus_minutus,species,Hettangian,Sinemurian,201.3,190.8
Trisauropodiscus n. sp. moabensis,species,recombined as,Anomoepus_moabensis,species,Pliensbachian,Toarcian,190.8,174.1
Moyenisauropus n. sp. palmipes,species,recombined as,Anomoepus_palmipes,species,Hettangian,Sinemurian,201.3,190.8
Anomoepus n. sp. pienkovskii,species,,Anomoepus_pienkovskii,species,Late Hettangian,,201.3,196.5
Anomoepus crassus,species,subjective synonym of,Anomoepus_scambus,species,Hettangian,Sinemurian,201.3,190.8
n. gen. Hopiichnus n. sp. shingi,species,recombined as,Anomoepus_shingi,species,Sinemurian,Pliensbachian,199.3,182.7
n. gen. Shensipus n. sp. tungchuanensis,species,recombined as,Anomoepus_tungchuanensis,species,Middle Jurassic,,174.1,163.5
n. gen. Masitisisauropodiscus n. sp. turdus,species,recombined as,Anomoepus_turda,species,Hettangian,Sinemurian,201.3,190.8
