identified_name,identified_rank,difference,accepted_name,accepted_rank,early_interval,late_interval,max_ma,min_ma
,,,,,,,,
n. gen. Achelousaurus n. sp. horneri,species,,Achelousaurus_horneri,species,Late Campanian,,83.5,70.6
,,,,,,,,
Achelousaurus horneri,species,,Achelousaurus_horneri,species,Campanian,,83.6,72.1
,,,,,,,,
Chasmosaurus mariscalensis,species,recombined as,Agujaceratops_mariscalensis,species,Late Campanian,,83.5,70.6
,,,,,,,,
n. gen. Ajkaceratops n. sp. kozmai,species,,Ajkaceratops_kozmai,species,Santonian,,86.3,83.6
,,,,,,,,
n. gen. Albalophosaurus n. sp. yamaguchiorum,species,,Albalophosaurus_yamaguchiorum,species,Valanginian,,139.8,132.9
,,,,,,,,
n. gen. Albertaceratops n. sp. nesmoi,species,,Albertaceratops_nesmoi,species,Middle Campanian,,83.5,70.6
,,,,,,,,
Anchiceratops ornatus,species,,Anchiceratops_ornatus,species,Early Maastrichtian,,70.6,66
,,,,,,,,
n. gen. Aquilops n. sp. americanus,species,,Aquilops_americanus,species,Middle Albian,Late Albian,109,99.6
,,,,,,,,
n. gen. Archaeoceratops n. sp. oshimai,species,,Archaeoceratops_oshimai,species,Barremian,Aptian,129.4,113
,,,,,,,,
Archaeoceratops n. sp. yujingziensis,species,,Archaeoceratops_yujingziensis,species,Aptian,Albian,125,100.5
,,,,,,,,
n. gen. Arrhinoceratops n. sp. brachyops,species,,Arrhinoceratops_brachyops,species,Late Campanian,Early Maastrichtian,83.5,66
,,,,,,,,
n. gen. Asiaceratops n. sp. salsopaludalis,species,,Asiaceratops_salsopaludalis,species,Early Cenomanian,,99.6,93.5
,,,,,,,,
n. gen. Auroraceratops n. sp. rugosus,species,,Auroraceratops_rugosus,species,Barremian,Albian,129.4,100.5
,,,,,,,,
n. gen. Avaceratops n. sp. lammersi,species,,Avaceratops_lammersi,species,Middle Campanian,Late Campanian,83.5,70.6
,,,,,,,,
Protoceratops ? n. sp. kozlowskii,species,subjective synonym of,Bagaceratops_rozhdestvenskyi,species,Campanian,,83.6,72.1
,,,,,,,,
n. gen. Bravoceratops n. sp. polyphemus,species,,Bravoceratops_polyphemus,species,Late Campanian,Early Maastrichtian,83.5,66
,,,,,,,,
Centrosaurus apertus,species,,Centrosaurus_apertus,species,Late Campanian,,83.5,70.6
,,,,,,,,
Cerasinops hodgskissi,species,,Cerasinops_hodgskissi,species,Campanian,,83.6,72.1
,,,,,,,,
n. gen. Chaoyangosaurus n. sp. liaosiensis,species,replaced by,Chaoyangsaurus_youngi,species,Late Tithonian,Valanginian,150.8,132.9
,,,,,,,,
Chasmosaurus belli,species,,Chasmosaurus_belli,species,Late Campanian,,83.5,70.6
,,,,,,,,
Chasmosaurus russelli,species,,Chasmosaurus_russelli,species,Late Campanian,,83.5,70.6
,,,,,,,,
n. gen. Coahuilaceratops n. sp. magnacuerna,species,,Coahuilaceratops_magnacuerna,species,Late Campanian,,83.5,70.6
,,,,,,,,
Centrosaurus n. sp. brinkmani,species,recombined as,Coronosaurus_brinkmani,species,Late Campanian,,83.5,70.6
,,,,,,,,
n. gen. Crittendenceratops n. sp. krzyzanowskii,species,,Crittendenceratops_krzyzanowskii,species,Late Campanian,,83.5,70.6
,,,,,,,,
n. gen. Diabloceratops n. sp. eatoni,species,,Diabloceratops_eatoni,species,Early Campanian,,83.5,70.6
,,,,,,,,
Einiosaurus procurvicornis,species,,Einiosaurus_procurvicornis,species,Campanian,,83.6,72.1
,,,,,,,,
n. gen. Eotriceratops n. sp. xerinsularis,species,,Eotriceratops_xerinsularis,species,Late Maastrichtian,,70.6,66
,,,,,,,,
n. gen. Gobiceratops n. sp. minutus,species,,Gobiceratops_minutus,species,Campanian,,83.6,72.1
,,,,,,,,
n. gen. Graciliceratops n. sp. mongoliensis,species,,Graciliceratops_mongoliensis,species,Cenomanian,Santonian,100.5,83.6
,,,,,,,,
n. gen. Gryphoceratops n. sp. morrisoni,species,,Gryphoceratops_morrisoni,species,Late Santonian,,85.8,83.5
,,,,,,,,
n. gen. Helioceratops n. sp. brachygnathus,species,,Helioceratops_brachygnathus,species,Aptian,Cenomanian,125,93.9
,,,,,,,,
n. gen. Hualianceratops n. sp. wucaiwanensis,species,,Hualianceratops_wucaiwanensis,species,Oxfordian,,163.5,157.3
,,,,,,,,
n. gen. Ischioceratops n. sp. zhuchengensis,species,,Ischioceratops_zhuchengensis,species,Campanian,,83.6,72.1
,,,,,,,,
n. gen. Judiceratops n. sp. tigris,species,,Judiceratops_tigris,species,Middle Campanian,,83.5,70.6
,,,,,,,,
n. gen. Koreaceratops n. sp. hwaseongensis,species,,Koreaceratops_hwaseongensis,species,Albian,,113,100.5
,,,,,,,,
n. gen. Kosmoceratops n. sp. richardsoni,species,,Kosmoceratops_richardsoni,species,Late Campanian,,83.5,70.6
,,,,,,,,
n. gen. Lamaceratops n. sp. tereschenkoi,species,,Lamaceratops_tereschenkoi,species,Campanian,,83.6,72.1
,,,,,,,,
Leptoceratops gracilis,species,,Leptoceratops_gracilis,species,Maastrichtian,,72.1,66
,,,,,,,,
Liaoceratops yanzigouensis,species,,Liaoceratops_yanzigouensis,species,Early Aptian,,125.45,122.46
,,,,,,,,
n. gen. Machairoceratops n. sp. cronusi,species,,Machairoceratops_cronusi,species,Middle Campanian,,83.5,70.6
,,,,,,,,
Magnirostris dodsoni,species,,Magnirostris_dodsoni,species,Campanian,,83.6,72.1
,,,,,,,,
n. gen. Medusaceratops n. sp. lokii,species,,Medusaceratops_lokii,species,Middle Campanian,,83.5,70.6
,,,,,,,,
Mercuriceratops gemini,species,,Mercuriceratops_gemini,species,Late Campanian,,83.5,70.6
,,,,,,,,
n. gen. Micropachycephalosaurus n. sp. hongtuyanensis,species,,Micropachycephalosaurus_hongtuyanensis,species,Campanian,,83.6,72.1
,,,,,,,,
Monoclonius lowei,species,subjective synonym of,Monoclonius_crassus,species,Late Campanian,,83.5,70.6
,,,,,,,,
Montanoceratops cerorhynchus,species,,Montanoceratops_cerorhynchus,species,Early Maastrichtian,,70.6,66
,,,,,,,,
n. gen. Mosaiceratops n. sp. azumai,species,,Mosaiceratops_azumai,species,Early Turonian,Middle Campanian,93.5,70.6
,,,,,,,,
n. gen. Nasutoceratops n. sp. titusi,species,,Nasutoceratops_titusi,species,Late Campanian,,83.5,70.6
,,,,,,,,
Ojoceratops fowleri,species,,Ojoceratops_fowleri,species,Maastrichtian,,72.1,66
,,,,,,,,
Ojoceratops fowleri,species,,Ojoceratops_fowleri,species,Maastrichtian,,72.1,66
,,,,,,,,
Pachyrhinosaurus canadensis,species,,Pachyrhinosaurus_canadensis,species,Late Campanian,Early Maastrichtian,83.5,66
,,,,,,,,
Pachyrhinosaurus n. sp. lakustai,species,,Pachyrhinosaurus_lakustai,species,Late Campanian,,83.5,70.6
,,,,,,,,
Pachyrhinosaurus n. sp. perotorum,species,,Pachyrhinosaurus_perotorum,species,Late Maastrichtian,,70.6,66
,,,,,,,,
Pentaceratops sternbergii,species,,Pentaceratops_sternbergii,species,Late Campanian,,83.5,70.6
,,,,,,,,
n. gen. Platyceratops n. sp. tatarinovi,species,,Platyceratops_tatarinovi,species,Campanian,,83.6,72.1
,,,,,,,,
n. gen. Prenoceratops n. sp. pieganensis,species,,Prenoceratops_pieganensis,species,Campanian,,83.6,72.1
,,,,,,,,
Protoceratops andrewsi,species,,Protoceratops_andrewsi,species,Late Campanian,,83.5,70.6
,,,,,,,,
Protoceratops n. sp. hellenikorhinus,species,,Protoceratops_hellenikorhinus,species,Campanian,,83.6,72.1
,,,,,,,,
Psittacosaurus n. sp. gobiensis,species,,Psittacosaurus_gobiensis,species,Aptian,,125,113
,,,,,,,,
Psittacosaurus lujiatunensis,species,,Psittacosaurus_lujiatunensis,species,Early Aptian,,125.45,122.46
,,,,,,,,
Psittacosaurus n. sp. major,species,,Psittacosaurus_major,species,Late Barremian,Early Aptian,130,122.46
,,,,,,,,
Psittacosaurus n. sp. meileyingensis,species,,Psittacosaurus_meileyingensis,species,Aptian,,125,113
,,,,,,,,
Psittacosaurus mongoliensis,species,,Psittacosaurus_mongoliensis,species,Early Cretaceous,,145,100.5
,,,,,,,,
Psittacosaurus n. sp. neimongoliensis,species,,Psittacosaurus_neimongoliensis,species,Valanginian,Albian,139.8,100.5
,,,,,,,,
Psittacosaurus sibiricus,species,,Psittacosaurus_sibiricus,species,Barremian,Aptian,129.4,113
,,,,,,,,
Psittacosaurus n. sp. sinensis,species,,Psittacosaurus_sinensis,species,Aptian,,125,113
,,,,,,,,
Psittacosaurus n. sp. xinjiangensis,species,,Psittacosaurus_xinjiangensis,species,Early Cretaceous,,145,100.5
,,,,,,,,
n. gen. Regaliceratops n. sp. peterhewsi,species,,Regaliceratops_peterhewsi,species,Maastrichtian,,72.1,66
,,,,,,,,
Styracosaurus n. sp. ovatus,species,recombined as,Rubeosaurus_ovatus,species,Campanian,,83.6,72.1
,,,,,,,,
Rubeosaurus ovatus,species,,Rubeosaurus_ovatus,species,Campanian,,83.6,72.1
,,,,,,,,
n. gen. Serendipaceratops n. sp. arthurcclarkei,species,,Serendipaceratops_arthurcclarkei,species,Late Aptian,,122.46,112.03
,,,,,,,,
n. gen. Sinoceratops n. sp. zhuchengensis,species,,Sinoceratops_zhuchengensis,species,Campanian,,83.6,72.1
,,,,,,,,
n. gen. Spiclypeus n. sp. shipporum,species,,Spiclypeus_shipporum,species,Late Campanian,,83.5,70.6
,,,,,,,,
n. gen. Spinops n. sp. sternbergorum,species,,Spinops_sternbergorum,species,Middle Campanian,,83.5,70.6
,,,,,,,,
n. gen. Stenopelix n. sp. valdensis,species,,Stenopelix_valdensis,species,Berriasian,,145,139.8
,,,,,,,,
Monoclonius n. sp. nasicornus,species,subjective synonym of,Styracosaurus_albertensis,species,Late Campanian,,83.5,70.6
,,,,,,,,
n. gen. Tatankaceratops n. sp. sacrisonorum,species,,Tatankaceratops_sacrisonorum,species,Late Maastrichtian,,70.6,66
,,,,,,,,
n. gen. Titanoceratops n. sp. ouranos,species,,Titanoceratops_ouranos,species,Late Campanian,,83.5,70.6
,,,,,,,,
Torosaurus latus,species,,Torosaurus_latus,species,Maastrichtian,,72.1,66
,,,,,,,,
Ceratops n. sp. horridus,species,recombined as,Triceratops_horridus,species,Maastrichtian,,72.1,66
,,,,,,,,
Triceratops prorsus,species,,Triceratops_prorsus,species,Maastrichtian,,72.1,66
,,,,,,,,
