identified_name,identified_rank,difference,accepted_name,accepted_rank,early_interval,late_interval,max_ma,min_ma
,,,,,,,,
Acristavus gagslarsoni,species,,Acristavus_gagslarsoni,species,Early Campanian,Middle Campanian,83.5,70.6
,,,,,,,,
n. gen. Adelolophus n. sp. hutchisoni,species,,Adelolophus_hutchisoni,species,Early Campanian,Middle Campanian,83.5,70.6
,,,,,,,,
n. gen. Amurosaurus n. sp. riabinini,species,,Amurosaurus_riabinini,species,Late Maastrichtian,,70.6,66
,,,,,,,,
n. gen. Anasazisaurus n. sp. horneri,species,,Anasazisaurus_horneri,species,Late Campanian,,83.5,70.6
,,,,,,,,
Anatosaurus n. sp. copei,species,recombined as,Anatotitan_copei,species,Maastrichtian,,72.1,66
,,,,,,,,
n. gen. Angulomastacator n. sp. daviesi,species,,Angulomastacator_daviesi,species,Middle Campanian,,83.5,70.6
,,,,,,,,
n. gen. Aralosaurus n. sp. tuberiferus,species,,Aralosaurus_tuberiferus,species,Santonian,Early Campanian,86.3,70.6
,,,,,,,,
n. gen. Arenysaurus n. sp. ardevoli,species,,Arenysaurus_ardevoli,species,Late Maastrichtian,,70.6,66
,,,,,,,,
Saurolophus n. sp. morrisi,species,recombined as,Augustynolophus_morrisi,species,Late Maastrichtian,,70.6,66
,,,,,,,,
n. gen. Barsboldia n. sp. sicinskii,species,,Barsboldia_sicinskii,species,Campanian,Maastrichtian,83.6,66
,,,,,,,,
n. gen. Blasisaurus n. sp. canudoi,species,,Blasisaurus_canudoi,species,Late Maastrichtian,,70.6,66
,,,,,,,,
n. gen. Bonapartesaurus n. sp. rionegrensis,species,,Bonapartesaurus_rionegrensis,species,Late Campanian,Early Maastrichtian,83.5,66
,,,,,,,,
Brachylophosaurus n. sp. goodwini,species,subjective synonym of,Brachylophosaurus_canadensis,species,Middle Campanian,,83.5,70.6
,,,,,,,,
n. gen. Canardia n. sp. garonnensis,species,,Canardia_garonnensis,species,Late Maastrichtian,,70.6,66
,,,,,,,,
n. gen. Charonosaurus n. sp. jiayinensis,species,,Charonosaurus_jiayinensis,species,Late Maastrichtian,,70.6,66
,,,,,,,,
Corythosaurus n. sp. bicristatus,species,subjective synonym of,Corythosaurus_casuarius,species,Late Campanian,,83.5,70.6
,,,,,,,,
Corythosaurus intermedius,species,,Corythosaurus_intermedius,species,Late Campanian,,83.5,70.6
,,,,,,,,
Edmontosaurus cf. annectens,species,,Edmontosaurus_annectens,species,Lancian,,70.6,66
,,,,,,,,
Edmontosaurus regalis,species,,Edmontosaurus_regalis,species,Late Campanian,Early Maastrichtian,83.5,66
,,,,,,,,
Thespesius n. sp. saskatchewanensis,species,recombined as,Edmontosaurus_saskatchewanensis,species,Maastrichtian,,72.1,66
,,,,,,,,
n. gen. Eotrachodon n. sp. orientalis,species,,Eotrachodon_orientalis,species,Late Santonian,,85.8,83.5
,,,,,,,,
Gryposaurus ? alsatei,species,,Gryposaurus_alsatei,species,Late Maastrichtian,,70.6,66
,,,,,,,,
Gryposaurus latidens,species,,Gryposaurus_latidens,species,Late Santonian,Early Campanian,85.8,70.6
,,,,,,,,
Gryposaurus n. sp. monumentensis,species,,Gryposaurus_monumentensis,species,Late Campanian,,83.5,70.6
,,,,,,,,
Gryposaurus cf. notabilis,species,,Gryposaurus_notabilis,species,Late Campanian,,83.5,70.6
,,,,,,,,
cf. Hadrosauropodus langstoni,species,,Hadrosauropodus_langstoni,species,Late Maastrichtian,,70.6,66
,,,,,,,,
Hadrosauropodus n. sp. nanxiongensis,species,,Hadrosauropodus_nanxiongensis,species,Maastrichtian,,72.1,66
,,,,,,,,
n. gen. Ornithotarsus n. sp. immanis,species,subjective synonym of,Hadrosaurus_foulkii,species,Campanian,,83.6,72.1
,,,,,,,,
n. gen. Huaxiaosaurus n. sp. aigahtens,species,,Huaxiaosaurus_aigahtens,species,Campanian,,83.6,72.1
,,,,,,,,
Hypacrosaurus altispinus,species,,Hypacrosaurus_altispinus,species,Maastrichtian,,72.1,66
,,,,,,,,
Hypacrosaurus cf. stebingeri,species,,Hypacrosaurus_stebingeri,species,Late Santonian,Early Campanian,85.8,70.6
,,,,,,,,
Jaxartosaurus n. sp. aralensis,species,,Jaxartosaurus_aralensis,species,Coniacian,Santonian,89.8,83.6
,,,,,,,,
Procheneosaurus n. sp. convincens,species,recombined as,Kazaklambia_convincens,species,Coniacian,Santonian,89.8,83.6
,,,,,,,,
n. gen. Kerberosaurus n. sp. manakini,species,,Kerberosaurus_manakini,species,Late Maastrichtian,,70.6,66
,,,,,,,,
n. gen. Kritosaurus n. sp. navajovius,species,,Kritosaurus_navajovius,species,Late Campanian,,83.5,70.6
,,,,,,,,
n. gen. Laiyangosaurus n. sp. youngi,species,,Laiyangosaurus_youngi,species,Campanian,,83.6,72.1
,,,,,,,,
Corythosaurus n. sp. frontalis,species,subjective synonym of,Lambeosaurus_clavinitialis,species,Late Campanian,,83.5,70.6
,,,,,,,,
n. gen. Tetragonosaurus n. sp. praeceps,species,subjective synonym of,Lambeosaurus_lambei,species,Late Campanian,,83.5,70.6
,,,,,,,,
Lambeosaurus n. sp. magnicristatum,species,corrected to,Lambeosaurus_magnicristatus,species,Late Campanian,,83.5,70.6
,,,,,,,,
n. gen. Lapampasaurus n. sp. cholinoi,species,,Lapampasaurus_cholinoi,species,Late Campanian,Early Maastrichtian,83.5,66
,,,,,,,,
n. gen. Latirhinus n. sp. uitstlani,species,,Latirhinus_uitstlani,species,Late Campanian,,83.5,70.6
,,,,,,,,
n. gen. Lophorhothon n. sp. atopus,species,,Lophorhothon_atopus,species,Early Campanian,,83.5,70.6
,,,,,,,,
Lambeosaurus ? n. sp. laticaudus,species,recombined as,Magnapaulia_laticaudus,species,Late Campanian,,83.5,70.6
,,,,,,,,
Maiasaura peeblesorum,species,,Maiasaura_peeblesorum,species,Campanian,,83.6,72.1
,,,,,,,,
Trachodon n. sp. amurense,species,recombined as,Mandschurosaurus_amurensis,species,Late Maastrichtian,,70.6,66
,,,,,,,,
n. gen. Naashoibitosaurus n. sp. ostromi,species,,Naashoibitosaurus_ostromi,species,Late Campanian,,83.5,70.6
,,,,,,,,
n. gen. Nipponosaurus n. sp. sachalinensis,species,,Nipponosaurus_sachalinensis,species,Late Santonian,Early Campanian,85.8,70.6
,,,,,,,,
n. gen. Olorotitan n. sp. arharensis,species,,Olorotitan_arharensis,species,Late Maastrichtian,,70.6,66
,,,,,,,,
n. gen. Pararhabdodon n. sp. isonense,species,corrected to,Pararhabdodon_isonensis,species,Late Maastrichtian,,70.6,66
,,,,,,,,
n. gen. Parasaurolophus n. sp. cyrtocristatus,species,,Parasaurolophus_cyrtocristatus,species,Late Campanian,,83.5,70.6
,,,,,,,,
Parasaurolophus tubicen,species,,Parasaurolophus_tubicen,species,Late Campanian,,83.5,70.6
,,,,,,,,
n. gen. Parasaurolophus n. sp. walkeri,species,,Parasaurolophus_walkeri,species,Late Campanian,,83.5,70.6
,,,,,,,,
n. gen. Probrachylophosaurus n. sp. bergei,species,,Probrachylophosaurus_bergei,species,Campanian,,83.6,72.1
,,,,,,,,
Prosaurolophus blackfeetensis,species,,Prosaurolophus_blackfeetensis,species,Campanian,,83.6,72.1
,,,,,,,,
Prosaurolophus maximus,species,,Prosaurolophus_maximus,species,Late Campanian,,83.5,70.6
,,,,,,,,
n. gen. Rhinorex n. sp. condrupus,species,,Rhinorex_condrupus,species,Campanian,,83.6,72.1
,,,,,,,,
Orthomerus n. sp. weberi,species,recombined as,Riabininohadros_weberi,species,Late Maastrichtian,,70.6,66
,,,,,,,,
n. gen. Sahaliyania n. sp. elunchunorum,species,,Sahaliyania_elunchunorum,species,Late Maastrichtian,,70.6,66
,,,,,,,,
Saurolophus angustirostris,species,,Saurolophus_angustirostris,species,Campanian,Maastrichtian,83.6,66
,,,,,,,,
n. gen. Saurolophus n. sp. osborni,species,,Saurolophus_osborni,species,Maastrichtian,,72.1,66
,,,,,,,,
Kritosaurus n. sp. australis,species,subjective synonym of,Secernosaurus_koerneri,species,Campanian,Early Maastrichtian,83.6,66
,,,,,,,,
Shantungosaurus cf. giganteus,species,,Shantungosaurus_giganteus,species,Maastrichtian,,72.1,66
,,,,,,,,
n. gen. Taponichnus n. sp. donottoi,species,,Taponichnus_donottoi,species,Maastrichtian,,72.1,66
,,,,,,,,
n. gen. Telosichnus n. sp. saltensis,species,,Telosichnus_saltensis,species,Maastrichtian,,72.1,66
,,,,,,,,
n. gen. Tridigitichnus n. sp. inopinatus,species,,Tridigitichnus_inopinatus,species,Late Maastrichtian,,70.6,66
,,,,,,,,
n. gen. Ugrunaaluk n. sp. kuukpikensis,species,,Ugrunaaluk_kuukpikensis,species,Early Maastrichtian,,70.6,66
,,,,,,,,
n. gen. Velafrons n. sp. coahuilensis,species,,Velafrons_coahuilensis,species,Late Campanian,,83.5,70.6
,,,,,,,,
n. gen. Wulagasaurus n. sp. dongi,species,,Wulagasaurus_dongi,species,Late Maastrichtian,,70.6,66
,,,,,,,,
n. gen. Zhuchengosaurus n. sp. maximus,species,,Zhuchengosaurus_maximus,species,Campanian,,83.6,72.1
