name,max_ma,min_ma
Ouranosaurus_nigeriensis_,113,100.5
Jinzhousaurus_yangi,125.45,122.46
Equijubus_normani,129.4,113
Xuwulong_yueluni,125,100.5
Eolambia_caroljonesa,105.3,99.6
Jintasaurus_meniscus,125,100.5
Probactrosaurus_gobiensis,129.4,100.5
Protohadros_byrdi,99.6,93.5
Levnesovia_transoxiana,93.5,89.3
Tanius_sinensis,83.6,72.1
Bactrosaurus_johnsoni,83.5,70.6
Gilmoreosaurus_mongoliensis,83.5,70.6
Claosaurus_agilis,89.3,70.6
Nanningosaurus_dashiensis,100.5,66
Shuangmiaosaurus_gilmorei,105.3,99.6
Nanyangosaurus_zhugeii,93.5,70.6
Zhanghenglong_yangchengensis,86.3,83.6
Acristavus_gagslarsoni,83.5,70.6
Wulagasaurus_dongi,70.6,66
Hadrosaurus_foulkii,83.6,72.1
Brachylophosaurus_canadensis,83.5,70.6
Maiasaura_peeblesorum,83.6,72.1
Kerberosaurus_manakini,70.6,66
Shantungosaurus_giganteus,72.1,66
Edmontosaurus_regalis,83.6,66
Edmontosaurus_annectens,70.6,66
Edmontosaurus_saskatchewanensis,72.1,66
Lophorhothon_atopus,83.5,70.6
Prosaurolophus_maximus,83.5,70.6
Bonapartesaurus_rionegrensis,83.5,66
Saurolophus_angustirostris,83.6,66
Saurolophus_osborni,72.1,66
Kritosaurus_navajovius,83.5,70.6
Gryposaurus_incurvimanus,84.9,70.6
Gryposaurus_latidens,85.8,70.6
Gryposaurus_monumentensis,83.5,70.6
Gryposaurus_notabilis,83.5,70.6
Aralosaurus_tuberiferus,86.3,70.6
Jaxartosaurus_aralensis,89.8,83.6
Pararhabdodon_isonensis,70.6,66
Tsintaosaurus_spinorhinus,83.6,72.1
Arenysaurus_ardevoli,70.6,66
Amurosaurus_riabinini,70.6,66
Sahaliyania_elunchunorum,70.6,66
Hypacrosaurus_altispinus,72.1,66
Hypacrosaurus_stebingeri,85.8,70.6
Magnapaulia_laticaudus,83.5,70.6
Nipponosaurus_sachalinensis,85.8,70.6
Olorotitan_ararhensis,70.6,66
Velafrons_coahuilensis,83.5,70.6
Corythosaurus_casuarius,83.5,70.6
Corythosaurus_intermedius,83.5,70.6
Lambeosaurus_lambei,83.5,70.6
Lambeosaurus_magnicristatus,83.5,70.6
Charonosaurus_jiayinensis,70.6,66
Parasaurolophus_cyrtocristatus,84.9,70.6
Parasaurolophus_tubicen,83.5,70.6
Parasaurolophus_walkeri,83.5,70.6
Telmatosaurus_transsylvanicus,72.1,66
Tethyshadros_insularis,83.5,66
Iguanodon_bernissartensis,125.45,122.46
Mantellisaurus_atherfieldensis,136.4,122.46
