name,max_ma,min_ma
Aardonyx,199.6,189.6
Abelisaurus,83.5,70.6
Abrictosaurus_consors,199.6,189.6
Achelousaurus_horneri,83.5,70.6
Achillobator,99.6,83.5
Acristavus_gagslarsoni,83.5,70.6
Acrocanthosaurus,125,112
Adasaurus,70.6,70.6
Adeopapposaurus,199.6,175.6
Aeolosaurus_maximus,83.5,65.5
Aeolosaurus_rionegrinus,83.5,65.5
Aeolosaurus_sp.,83.5,65.5
Aerosteon,83.5,70.6
Afrovenator,175.6,145.5
Agilisaurus_louderbacki,171.6,161.2
Agujaceratops_mariscalensis,83.5,70.6
Alamosaurus,83.5,65.5
Albertaceratops_nesmoi,70.6,70.6
Albertosaurus,83.5,65.5
Alioramus,70.6,70.6
Allosaurus,155.7,145.5
Altirhinus_kurzanovi,99.6,99.6
Alvarezsaurus,85.8,83.5
Alxasaurus,125,112
Amargasaurus,130,125
Ambiortus,136.4,130
Amphicoelias,155.7,145.5
Amtocephale_gobiensis,93.5,83.5
Amurosaurus_riabinini,65.5,65.5
Anabisetia_saldiviai,89.3,89.3
Anchiceratops_ornatus,70.6,70.6
Anchiornis,164.7,155.7
Anchisaurus,199.6,189.6
Andesaurus,99.6,99.6
Angaturama,112,99.6
Animantarx_ramaljonesi,99.6,99.6
Ankylosaurus_magniventris,65.5,65.5
Anoplosaurus_curtonotus,99.6,99.6
Anserimimus,70.6,70.6
Antarctopelta_oliveroi,70.6,70.6
Antetonitrus,216.5,199.6
Apatosaurus_ajax,155.7,145.5
Apatosaurus_excelsus,155.7,145.5
Apatosaurus_louisae,155.7,145.5
Apatosaurus_parvus,155.7,145.5
Appalachiosaurus,83.5,70.6
Apsaravis,83.5,70.6
Aragosaurus,130,130
Aralosaurus_tuberiferus,85.8,83.5
Archaeoceratops_oshimai,130,112
Archaeoceratops_yujingziensis,125,99.6
Archaeopteryx,150.8,150.8
Archaeorhynchus,125,125
Archaeornithomimus,93.5,83.5
Arcusaurus,199.6,189.6
Arenysaurus_ardevoli,65.5,65.5
Argentinosaurus,93.5,89.3
Arrhinoceratops_brachyops,70.6,70.6
Asiaceratops_salsopaludalis,99.6,99.6
Asilisaurus_kongwe,245,237
Atlasaurus,167.7,161.2
Atrociraptor,70.6,70.6
Aucasaurus,83.5,70.6
Australovenator,99.6,99.6
Austroraptor,83.5,65.5
Avimimus,83.5,70.6
Bactrosaurus_johnsoni,93.5,83.5
Bagaceratops_rozhdestvenskyi,83.5,70.6
Balaur,70.6,65.5
Bambiraptor,83.5,70.6
Baptornis_advenus,89.3,83.5
Baptornis_varneri,83.5,70.6
Barapasaurus,199.6,175.6
Barilium_dawsoni,140.2,136.4
Barosaurus,155.7,145.5
Barsboldia_sicinskii,70.6,70.6
Baryonyx,130,130
Beipiaosaurus,125,125
Beishanlong,125,99.6
Bistahieversor,70.6,70.6
Blasisaurus_canudoi,65.5,65.5
Boluochia,125,112
Brachiosaurus,155.7,145.5
