name,max_ma,min_ma
Pisanosaurus,237,228
Lesothosaurus,201.3,190.8
Scutellosaurus,199.3,182.7
Laquintasaura,201.3,196.5
Emausaurus,183,182
Scelidosaurus,199.3,190.8
Alcovasaurus_longispinus,157.3,152.1
Huayangosaurus,170.3,163.5
Chungkingosaurus,163.5,157.3
Paranthodon,145,136.4
Tuojiangosaurus,163.5,157.3
Jiangjunosaurus,163.5,157.3
Gigantspinosaurus,163.5,157.3
Kentrosaurus,152.1,145
D._armatus,155.7,150.8
Loricatosaurus,164.7,161.2
Miragaia,155.7,145
Hesperosaurus,157.3,152.1
S._homheni,122.46,100.5
S._stenops,157.3,145
Sauropelta,113,100.5
Gastonia,129.4,125
Euoplocephalus,83.5,70.6
