identified_name,identified_rank,difference,accepted_name,accepted_rank,early_interval,late_interval,max_ma,min_ma
,,,,,,,,
,,,Abavornis_bonaparti,species,Late Cretaceous,,100.5,66
,,,,,,,,
,,,Abelichnus_astigarrae,species,Early Cenomanian,,99.6,93.5
,,,,,,,,
,,,Abelisaurus_comahuensis,species,Early Campanian,Middle Campanian,83.5,70.6
,,,,,,,,
,,,Aberratiodontus_wui,species,Aptian,,125,113
,,,,,,,,
,,,Acheroraptor_temertyorum,species,Late Maastrichtian,,70.6,66
,,,,,,,,
,,,Achillesaurus_manazzonei,species,Santonian,,86.3,83.6
,,,,,,,,
,,,Achillobator_giganticus,species,Cenomanian,Santonian,100.5,83.6
,,,,,,,,
,,,Acrocanthosaurus_atokensis,species,Aptian,,125,113
,,,,,,,,
,,,Adasaurus_mongoliensis,species,Maastrichtian,,72.1,66
,,,,,,,,
,,,Aepyornithomimus_tugrikinensis,species,Late Campanian,,83.5,70.6
,,,,,,,,
,,,Aerosteon_riocoloradensis,species,Early Campanian,Middle Campanian,83.5,70.6
,,,,,,,,
,,,Afrovenator_abakensis,species,Middle Jurassic,Late Jurassic,174.1,145
,,,,,,,,
,,,Ageroolithus_fontllongensis,species,Early Maastrichtian,,70.6,66
,,,,,,,,
,,,Agialopous_wyomingensis,species,Norian,Rhaetian,228,201.3
,,,,,,,,
,,,Ajancingenia_yanshini,species,Campanian,,83.6,72.1
,,,,,,,,
,,,Alamitornis_minutus,species,Campanian,Early Maastrichtian,83.6,66
,,,,,,,,
,,,Albertonykus_borealis,species,Early Maastrichtian,,70.6,66
,,,,,,,,
,,,Albertosaurus_sarcophagus,species,Maastrichtian,,72.1,66
,,,,,,,,
,,,Albinykus_baatar,species,Santonian,,86.3,83.6
,,,,,,,,
,,,Alectrosaurus_olseni,species,Middle Campanian,Late Campanian,83.5,70.6
,,,,,,,,
,,,Alethoalaornis_agitornis,species,Aptian,,125,113
,,,,,,,,
,,,Alexornis_antecedens,species,Santonian,,86.3,83.6
,,,,,,,,
,,,Alioramus_altai,species,Maastrichtian,,72.1,66
,,,,,,,,
,,,Alioramus_remotus,species,Maastrichtian,,72.1,66
,,,,,,,,
,,,Alioramus_sinensis,species,Maastrichtian,,72.1,66
,,,,,,,,
,,,Allosaurus_europaeus,species,Late Oxfordian,Late Kimmeridgian,161.2,150.8
,,,,,,,,
,,,Allosaurus_fragilis,species,Kimmeridgian,Tithonian,157.3,145
,,,,,,,,
,,,Allosaurus_jimmadseni,species,Late Oxfordian,Early Kimmeridgian,161.2,150.8
,,,,,,,,
