identified_name,identified_rank,difference,accepted_name,accepted_rank,early_interval,late_interval,max_ma,min_ma
n. gen. Brasilotitan n. sp. nemophagus,species,,Brasilotitan_nemophagus,species,Late Campanian,Early Maastrichtian,83.5,66
,,,,,,,,
n. gen. Breviparopus n. sp. taghbaloutensis,species,,Breviparopus_taghbaloutensis,species,Oxfordian,Kimmeridgian,163.5,152.1
,,,,,,,,
Brontopodus birdi,species,,Brontopodus_birdi,species,Albian,,113,100.5
,,,,,,,,
n. gen. Chuxiongpus n. sp. changlingensis,species,recombined as,Brontopodus_changlingensis,species,Turonian,Coniacian,93.9,86.3
,,,,,,,,
Brontopodus n. sp. oncalensis,species,,Brontopodus_oncalensis,species,Early Berriasian,Middle Berriasian,145,140.2
,,,,,,,,
Apatosaurus excelsus,species,recombined as,Brontosaurus_excelsus,species,Kimmeridgian,Tithonian,157.3,145
,,,,,,,,
n. gen. Elosaurus n. sp. parvus,species,recombined as,Brontosaurus_parvus,species,Kimmeridgian,Tithonian,157.3,145
,,,,,,,,
Eobrontosaurus yahnahpin,species,recombined as,Brontosaurus_yahnahpin,species,Kimmeridgian,Tithonian,157.3,145
,,,,,,,,
Cairanoolithus dughii,species,,Cairanoolithus_dughii,species,Late Campanian,,83.5,70.6
,,,,,,,,
Dughioolithus roussetensis,species,recombined as,Cairanoolithus_roussetensis,species,Early Maastrichtian,,70.6,66
,,,,,,,,
Camarasaurus grandis,species,,Camarasaurus_grandis,species,Kimmeridgian,Tithonian,157.3,145
,,,,,,,,
n. gen. Cathetosaurus n. sp. lewisi,species,recombined as,Camarasaurus_lewisi,species,Kimmeridgian,,157.3,152.1
,,,,,,,,
n. gen. Camarasaurus n. sp. supremus,species,,Camarasaurus_supremus,species,Kimmeridgian,Tithonian,157.3,145
,,,,,,,,
n. gen. Cardiodon n. sp. rugulosus,species,,Cardiodon_rugulosus,species,Late Bathonian,,167.7,164.7
,,,,,,,,
n. gen. Cathartesaura n. sp. anaerobica,species,,Cathartesaura_anaerobica,species,Late Cenomanian,Turonian,99.6,89.8
,,,,,,,,
n. gen. Cedarosaurus n. sp. weiskopfae,species,,Cedarosaurus_weiskopfae,species,Barremian,,129.4,125
,,,,,,,,
Cetiosauriscus n. sp. stewarti,species,,Cetiosauriscus_stewarti,species,Middle Callovian,,164.7,161.2
,,,,,,,,
Cetiosaurus n. sp. brachyurus,species,,Cetiosaurus_brachyurus,species,Early Valanginian,,140.2,136.4
,,,,,,,,
Cetiosaurus oxoniensis,species,,Cetiosaurus_oxoniensis,species,Late Bajocian,,171.6,167.7
,,,,,,,,
n. gen. Chebsaurus n. sp. algeriensis,species,,Chebsaurus_algeriensis,species,Middle Jurassic,,174.1,163.5
,,,,,,,,
n. gen. Chinshakiangosaurus n. sp. chunghoensis,species,,Chinshakiangosaurus_chunghoensis,species,Hettangian,,201.3,199.3
,,,,,,,,
n. gen. Choconsaurus n. sp. baileywillisi,species,,Choconsaurus_baileywillisi,species,Late Cenomanian,,99.6,93.5
,,,,,,,,
n. gen. Chuanjiesaurus n. sp. anaensis,species,,Chuanjiesaurus_anaensis,species,Middle Jurassic,,174.1,163.5
,,,,,,,,
n. gen. Chubutisaurus n. sp. insignis,species,,Chubutisaurus_insignis,species,Albian,Cenomanian,113,93.9
,,,,,,,,
n. gen. Comahuesaurus n. sp. windhauseni,species,,Comahuesaurus_windhauseni,species,Aptian,Albian,125,100.5
,,,,,,,,
n. gen. Daanosaurus n. sp. zhangi,species,,Daanosaurus_zhangi,species,Late Jurassic,,163.5,145
,,,,,,,,
n. gen. Damalasaurus n. sp. magnus,species,,Damalasaurus_magnus,species,Early Jurassic,,201.3,174.1
,,,,,,,,
n. gen. Dashanpusaurus n. sp. dongi,species,,Dashanpusaurus_dongi,species,Bajocian,Callovian,170.3,163.5
,,,,,,,,
n. gen. Datousaurus n. sp. bashanensis,species,,Datousaurus_bashanensis,species,Bajocian,Callovian,170.3,163.5
,,,,,,,,
n. gen. Daxiatitan n. sp. binglingi,species,,Daxiatitan_binglingi,species,Aptian,,125,113
,,,,,,,,
n. gen. Demandasaurus n. sp. darwini,species,,Demandasaurus_darwini,species,Late Barremian,Early Aptian,130,122.46
,,,,,,,,
Diamantinasaurus matildae,species,,Diamantinasaurus_matildae,species,Late Cenomanian,Early Turonian,99.6,89.3
,,,,,,,,
n. gen. Dicraeosaurus n. sp. hansemanni,species,,Dicraeosaurus_hansemanni,species,Late Kimmeridgian,,155.7,150.8
,,,,,,,,
Dicraeosaurus sattleri,species,,Dicraeosaurus_sattleri,species,Tithonian,,152.1,145
,,,,,,,,
Dicraeosaurus sattleri,species,,Dicraeosaurus_sattleri,species,Late Kimmeridgian,Tithonian,155.7,145
,,,,,,,,
Diplodocus carnegii,species,,Diplodocus_carnegii,species,Kimmeridgian,Tithonian,157.3,145
,,,,,,,,
n. gen. Seismosaurus n. sp. halli,species,recombined as,Diplodocus_hallorum,species,Kimmeridgian,Tithonian,157.3,145
,,,,,,,,
Diplodocus longus,species,,Diplodocus_longus,species,Kimmeridgian,Tithonian,157.3,145
,,,,,,,,
n. gen. Dongbetitan n. sp. dongi,species,obsolete variant of,Dongbeititan_dongi,species,Barremian,,129.4,125
,,,,,,,,
n. gen. Dongyangosaurus n. sp. sinensis,species,,Dongyangosaurus_sinensis,species,Cenomanian,,100.5,93.9
,,,,,,,,
n. gen. Dreadnoughtus n. sp. schrani,species,,Dreadnoughtus_schrani,species,Campanian,Maastrichtian,83.6,66
,,,,,,,,
n. gen. Drusilasaura n. sp. deseadensis,species,,Drusilasaura_deseadensis,species,Late Cenomanian,Middle Turonian,99.6,89.3
,,,,,,,,
Cetiosaurus n. sp. humerocristatus,species,recombined as,Duriatitan_humerocristatus,species,Late Kimmeridgian,,155.7,150.8
,,,,,,,,
n. gen. Dyslocosaurus n. sp. polyonychius,species,,Dyslocosaurus_polyonychius,species,Kimmeridgian,Tithonian,157.3,145
,,,,,,,,
n. gen. Dystrophaeus n. sp. viaemalae,species,,Dystrophaeus_viaemalae,species,Late Oxfordian,,161.2,155.7
,,,,,,,,
n. gen. Elaltitan n. sp. lilloi,species,,Elaltitan_lilloi,species,Campanian,Maastrichtian,83.6,66
,,,,,,,,
n. gen. Eomamenchisaurus n. sp. yuanmouensis,species,,Eomamenchisaurus_yuanmouensis,species,Middle Jurassic,,174.1,163.5
,,,,,,,,
n. gen. Epachthosaurus n. sp. sciuttoi,species,,Epachthosaurus_sciuttoi,species,Late Cenomanian,Early Turonian,99.6,89.3
,,,,,,,,
n. gen. Erketu n. sp. ellisoni,species,,Erketu_ellisoni,species,Cenomanian,Santonian,100.5,83.6
,,,,,,,,
n. gen. Helopus n. sp. zdanskyi,species,recombined as,Euhelopus_zdanskyi,species,Berriasian,Valanginian,145,132.9
,,,,,,,,
