name,max_ma,min_ma
Lesothosaurus_diagnosticus,201.3,190.8
Scelidosaurus_harrisonii,199.3,190.8
Huayangosaurus_taibaii,170.3,163.5
Minmi_sp.,139.8,125
Hylaeosaurus_armatus,136.4,122.46
Aletopelta_coombsi,83.5,70.6
Liaoningosaurus_paradoxus,130,122.46
Cedarpelta_bilbeyhallorum,125,100.5
Chuanqilong_chaoyangensis,125,113
Gobisaurus_domoculus,93.9,89.8
Shamosaurus_scutatus,125,100.5
Crichtonpelta_benxiensis,100.5,89.8
Pinacosaurus_grangeri,83.6,72.1
Pinacosaurus_mephistocephalus,83.6,72.1
Zhejiangosaurus_luoyangensis,100.5,89.8
Tsagantegia_longicranialis,100.5,89.8
Talarurus_plicatospineus,100.5,89.8
Nodocephalosaurus_kirtlandensis,83.5,70.6
Saichania_chulsanensis,83.6,72.1
Tarchia_kielanae,83.6,72.1
Zaraapelta_nomadis,100.5,83.6
Dyoplosaurus_acutosquameus,83.5,70.6
Ankylosaurus_magniventris,72.1,66
Anodontosaurus_lambei,70.6,66
Scolosaurus_cutleri,83.5,70.6
Euoplocephalus_tutus,83.5,70.6
Ziapelta_sanjuanensis,83.5,70.6
Dongyangopelta_yangyanensis,113,93.9
Mymoorapelta_maysi,157.3,145
Gastonia_burgei,129.4,125
Gargoyleosaurus_parkpinorum,157.3,152.1
Polacanthus_foxii,130,122.46
Hoplitosaurus_marshi,129.4,125
Peloroplites_cedrimontanus,122.46,109
Sauroplites_scutiger,129.4,113
Taohelong_jinchengensis,145,100.5
Sauropelta_edwardsi,113,100.5
Tatankacephalus_cooneyorum,113,100.5
Silvisaurus_condrayi,113,100.5
Animantarx_ramaljonesi,105.3,99.6
Panoplosaurus_mirus,83.5,70.6
Denversaurus_schlessmani,69,66
Argentinian_ankylosaur,83.6,66
Edmontonia_longiceps,70.6,66
Edmontonia_rugosidens,70.6,66
Texasetes_pleurohalio,105.3,99.6
Nodosaurus_textilis,99.6,93.5
Paw_Paw_scuteling,105.3,99.6
Ahshislepelta_minor,83.5,70.6
Niobrarasaurus_coleii,85.8,83.5
Hungarosaurus_tormai,86.3,83.6
Europelta_carbonensis,112.03,109
Pawpawsaurus_campbelli,105.3,99.6
Struthiosaurus_languedocensis,83.5,70.6
Stegopelta_landerensis,105.3,93.5
Struthiosaurus_austriacus,83.5,70.6
Struthiosaurus_transylvanicus,70.6,66
