name,max_ma,min_ma
Leptoceratops_gracilis,72.1,66
Protoceratops_andrewsi,83.5,70.6
Zuniceratops_christopheri,93.5,89.3
Turanoceratops_tardabilis,93.5,89.3
Centrosaurus_apertus,83.5,70.6
Albertaceratops_nesmoi,83.5,70.6
Pachyrhinosaurus_lakustai,83.5,70.6
Vagaceratops_irvinensis,83.5,70.6
Kosmoceratops_richardsoni,83.5,70.6
Spiclypeus_shipporum,83.5,70.6
Coahuilaceratops_magnacuerna,83.5,70.6
Utahceratops_gettyi,83.5,70.6
Pentaceratops_sternbergii,83.5,70.6
Agujaceratops_mariscalensis,83.5,70.6
Mojoceratops_perifania,83.5,70.6
Chasmosaurus_belli,83.5,70.6
Chasmosaurus_russelli,83.5,70.6
Anchiceratops_ornatus,72.1,66
Regaliceratops_peterhewsi,72.1,66
Arrhinoceratops_brachyops,83.5,66
Ojoceratops_fowleri,72.1,66
Titanoceratops_ouranos,83.5,70.6
Nedoceratops_hatcheri,69,66
Torosaurus_latus,72.1,66
Torosaurus_utahensis,69,66
Triceratops_horridus,72.1,66
Triceratops_prorsus,72.1,66
