name,max_ma,min_ma
Allosaurus_fragilis,157.3,145
Sinraptor_dongi,163.5,157.3
Bicentenaria,99.6,93.5
Tugulusaurus,122.46,100.5
Zuolong,163.5,157.3
Ornitholestes_hermanni,157.3,145
Mahakala_omnogovae,83.5,70.6
Tianyuraptor_ostromi,129.4,125
Sinornithosaurus_millenii,130,122.46
Microraptor_zhaoianus,125,113
Graciliraptor_lujiatunensis,125.45,122.46
Dromaeosaurus_albertensis,83.5,70.6
Tsaagan_mangas,83.5,70.6
Bambiraptor_feinbergorum,83.6,72.1
Atrociraptor_marshalli,70.6,66
Utahraptor,129.4,125
Achillobator_giganticus,100.5,83.6
Saurornitholestes_langstoni,83.5,70.6
Deinonychus_antirrhopus,125,100.5
Velociraptor_mongoliensis,83.5,70.6
Adasaurus_mongoliensis,72.1,66
Rahonavis_ostromi,72.1,66
Buitreraptor_gonzalozorum,99.6,93.5
Neuquenraptor_plus_Unenlagia,93.5,85.8
Austroraptor,83.5,66
Archaeopteryx_lithographica,150.8,145
Balaur_bondoc,72.1,66
Sapeornis,125,113
Jeholornis_prima,125,113
Jixiangornis_orientalis,125.45,122.46
Confuciusornis_sanctus,130,122.46
Patagopteryx_deferrariisi,86.3,83.6
Hongshanornis_longicrest,129.4,113
Yanornis_martini,125,113
Yixianornis,125,113
Songlingornis,125,113
Apsaravis_ukhaana,83.6,72.1
Hesperornis,100.5,66
Baptornis,89.8,83.6
Ichthyornis,93.5,70.6
Iaceornis_marshii,85.8,70.6
Limenavis_patagonica,83.5,66
Lithornis,56.8,48.6
Crypturellus_undulatus,NA,NA
Gallus_gallus,NA,NA
Crax_pauxi,NA,NA
Anas_platyrhynchus,NA,NA
Chauna_torquata,NA,NA
Gobipteryx,83.6,72.1
Pengornis_houi,125,113
Neuquenornis_volans,86.3,83.6
Cathayornis,125,113
Concornis,130,125.45
Vorona,72.1,66
Liaoningornis_longidigitus,125.45,122.46
Xixiasaurus,89.8,72.1
Byronosaurus_jaffei,83.6,72.1
Mei_long,125.45,122.46
Sinovenator_changii,125.45,122.46
EK_troodontid_IGM_100_slash_44,145,100.5
Sinornithoides_youngi,139.8,100.5
Troodon_formosus,85.8,70.6
Saurornithoides_mongoliensis,83.6,72.1
Zanabazar_junior,72.1,66
IGM_100_slash_1323,75,71
Jinfengopteryx_elegans,129.4,125
IGM_100_slash_1126,122,122
Anchiornis_huxleyi,163.5,157.3
Xiaotingia,167.7,150.8
Aurornis,167.7,150.8
Eosinopteryx,167.7,150.8
Epidexipteryx,164.7,161.2
Incisivosaurus_gauthieri,125.45,122.46
Microvenator_celer,113,100.5
Caudipteryx_zoui,130,122.46
Avimimus_portentosus,83.6,66
Chirostenotes_pergracilis,83.5,70.6
Citipati_osmolskae,83.6,72.1
Oviraptor_philoceratops,83.5,70.6
Ingenia_yanshani,84.9,70.6
Rinchenia_mongoliensis,72.1,66
Conchoraptor_gracilis,83.5,70.6
Falcarius,129.4,125
Beipiaosaurus,130,122.46
Alxasaurus_elesitaiensis,125,113
Erliansaurus,83.5,70.6
Segnosaurus_galbinensis,100.5,89.8
Erlikosaurus_andrewsi,100.5,83.6
Neimongosaurus,83.5,70.6
Suzhousaurus,129.4,113
Nothronychus,99.6,89.3
Enigmosaurus,100.5,89.3
Nanshiungosaurus_brevispinus,83.6,66
Therizinosaurus,72.1,66
Haplocheirus,163.5,157.3
Achillesaurus,86.3,83.6
Alvarezsaurus_calvoi,86.3,83.6
Patagonykus_puertai,93.5,85.8
Bonapartenykus,83.5,66
Mononykus_olecranus,72.1,66
Shuvuuia_deserti,83.6,72.1
Parvicursor,83.5,70.6
Albertonykus,70.6,66
Ceratonykus,83.5,70.6
Linhenykus,83.6,72.1
Albinykus,86.3,83.6
Xixianykus,89.3,83.6
Nqwebasaurus,145,132.9
Pelecanimimus_polydon,130,125.45
Shenzhousaurus_orientalis,130,122.46
Beishanlong,125,100.5
Archaeornithomimus_asiati,83.5,70.6
Garudimimus_brevipes,100.5,83.6
Harpymimus_okladnikovi,109,99.6
Sinornithomimus,93.9,89.8
Ornithomimus_edmonticus,83.5,70.6
Struthiomimus_altus,83.5,70.6
Qiupalong,100.5,66
Anserimimus_planinychus,72.1,66
Gallimimus_bullatus,83.6,66
Huaxiagnathus_orientalis,130,122.46
Sinosauropteryx_prima,130,122.46
Compsognathus_longipes,150.8,145
Juravenator_starki,155.7,150.8
Sinocalliopteryx,129.4,122.46
Mirischia,113,100.5
Coelurus_fragilis,157.3,145
Tanycolagreus,157.3,145
Dilong_paradoxus,130,122.46
Kileskus,168.3,166.1
Guanlong,163.5,157.3
Sinotyrannus,125,113
Proceratosaurus_bradleyi,167.7,164.7
Eotyrannus_lengi,136.4,125.45
Juratyrant,150.8,145
Xiongguanlong,125,100.5
Dryptosaurus,70.6,66
Appalachiosaurus,83.5,70.6
Bistahieversor,83.5,70.6
Albertosaurus_sacrophagus,72.1,66
Gorgosaurus_libratus,83.5,70.6
Alioramus,72.1,66
Teratophoneus,83.5,70.6
Daspletosaurus,85.8,70.6
Tyrannosaurus_rex,72.1,66
Tarbosaurus_baatar,72.1,66
